"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.719649053688451,5.99707544740376e-05,0.1589224993562,0.00599707544740376,0.00349016751761379,0.00157922986781632,0.000199902514913459,0.0040980015557259,0.0522745076498694,0.0358825014269658,0.000299853772370188,1.89555522104104e-07,1.86470681577488e-06,1.31935659842883e-05,5.13708188877082e-05,2.25845693534597e-05,1.05996525560877e-07,2.69868395133169e-05,9.99512574567294e-07,0.000175914213123844,7.09653927942778e-05,1.49926886185094e-05,3.99805029826917e-06,1.49926886185094e-06,1.99902514913459e-08,0.0127053075574248,5.42796112338192e-05,3.29839149607207e-06,5.28396354304402e-06,7.09653927942778e-06,1.15735835660188e-08,6.39688047723068e-07,2.29947889864358e-07,8.09605185399508e-06,0.00173282206083752,2.99853772370188e-07,3.99805029826917e-07,5.80716805823597e-05,1.51925911334229e-05,1.55923961632498e-05,5.96401611293491e-05,4.22793819041965e-06,0.00214995154789425,4.99756287283647e-07,9.1955156860191e-06,5.89712418994703e-06,4.69770910046628e-05,1.35933710141152e-05,4.49780658555282e-05,6.7966855070576e-07,1.17942483798941e-05,1.40186247717419e-05,3.19844023861534e-07,3.49829401098553e-06,1.59922011930767e-06,4.29790407063936e-06,2.19892766404805e-05,2.05899590360862e-06,7.89614933908162e-05,3.69819652589899e-05,4.47694608276539e-05
0.716551158105465,0.000169315027976828,0.15746297601845,0.0050694911317768,0.00836615432356092,0.00148399642167926,0.000169315027976828,0.00385440681335485,0.053981614802024,0.0351776869890681,8.96373677524384e-05,1.89555522104045e-07,1.86470681577429e-06,1.11150336013024e-05,5.13708188876921e-05,2.25845693534526e-05,1.05996525560844e-07,2.64729026095535e-05,4.82049844357558e-07,0.00019620623830256,7.28552605676764e-05,5.38820177267436e-06,4.43206984998168e-06,1.7578883787006e-06,2.68912103257315e-08,0.0127053075574208,5.35832265009021e-05,4.13626653639863e-06,5.28396354304237e-06,7.46978064603654e-06,1.15735835660152e-08,6.52360843087191e-07,2.29947889864286e-07,7.62913596648532e-06,0.00173282206083698,3.39626026706461e-07,4.50105157370128e-07,6.83634324725264e-05,1.52383525179145e-05,1.29177406638792e-05,6.46783406871484e-05,4.29462588609461e-06,0.00225388181359742,5.04507659724306e-07,9.45176244411823e-06,6.05849008931203e-06,3.26172631649707e-05,1.2887861541295e-05,4.69899001173338e-05,8.16696017299995e-07,1.24496344100609e-05,1.40186247717375e-05,3.29666319178412e-07,3.64226504300741e-06,1.21608028917475e-06,4.76721484681558e-06,2.49689867728181e-05,2.35845874264194e-06,7.96477811018056e-05,3.93806835659046e-05,0
0.7127,0.00035,0.1559,0.0046,0.0037,0.00162,3e-04,0.0038,0.0555,0.0365,0.00015,1.89555522104104e-07,9.6e-07,1.38277348491607e-05,6.66e-05,1.9e-05,1.05996525560877e-07,2.85e-05,7.12894431569388e-07,0.00019,7.51263902521239e-05,6.5e-06,4.54e-06,1.85e-06,3.1e-07,0.01349,5.42796112338192e-05,4.45e-06,5.28396354304402e-06,7.41003152458836e-06,1.3e-08,7.03256655724274e-07,2.29947889864358e-07,8.05e-06,0.001742,3e-07,4.50105157370269e-07,6.15e-05,1.57e-05,1.40872044942609e-05,6.3e-05,4.6e-06,0.002287,5.3e-07,8.7064658361062e-06,5.91e-06,4.9e-05,1.7e-05,4.44228215619624e-05,7.52141822094045e-07,1.3e-05,1.40186247717419e-05,3.10739688151825e-07,9e-06,0,4.76721484681708e-06,2.29e-05,2.5e-06,9.5e-05,3.4e-05,0.00639090229939387
0.710696716921939,9.80045176675989e-05,0.16371968064048,0.0067807070613404,0.0034901675175199,0.00167060898612734,0.000491355584155101,0.00363603132274775,0.0567024344114987,0.0350827887086742,0.000208005656371725,1.89555522099005e-07,1.86470681572472e-06,1.09965379733912e-05,6.94776795995314e-05,2.25845693528521e-05,1.05996525558026e-07,2.68574962299178e-05,8.84440051479183e-07,0.000196542233662041,7.68480133618579e-05,3.93084467324081e-06,4.32392914056489e-06,1.75905299127526e-06,9.82711168310203e-09,0.012705307557083,4.88407450650171e-05,3.70482110452946e-06,5.28396354290188e-06,7.72410978291819e-06,1.15735835657075e-08,6.68243594450938e-07,2.29947889858172e-07,7.7339368946013e-06,0.00173282206079091,3.24294685542367e-07,4.50105157358161e-07,6.43675815243183e-05,1.53794297840547e-05,1.27752451880326e-05,2.87934372314889e-05,4.23548513541697e-06,0.00207548598747115,5.04507659710893e-07,1.48389386414841e-05,5.88643989817811e-06,3.26172631641035e-05,1.3679339462878e-05,4.52047137422693e-05,8.15650269697468e-07,4.8644202831355e-06,7.37033376232652e-06,3.24294685542367e-07,1.41510408236669e-06,1.08098228514122e-06,4.76721484668883e-06,2.50099992334947e-05,2.28971702216277e-06,9.37940661215373e-05,3.852227779776e-05,0
0.686,9.80045176702353e-05,0.132,0.00403,0.00349016751761379,0.00138,0,0.0037,0.0540794452336089,0.0316,0.000208005656377321,1.89555522104104e-07,1.86470681577488e-06,1e-05,5.13708188877082e-05,2.3e-05,4.5e-06,2.5e-05,7.12894431569388e-07,0.00017,8.1e-05,1.8e-05,3.97666604718851e-06,1.68550469699523e-06,4.20141887871485e-08,0.0127053075574248,7.8e-05,4.14626195169097e-06,8.5e-06,7.41003152458836e-06,1.15735835660188e-08,7.03256655724274e-07,2.29947889864358e-07,7e-06,0.00173282206083752,3.12915870756669e-07,4.50105157370269e-07,5.1e-05,1.4e-05,1.3e-05,4.5e-05,2e-06,0.00222,5.04507659724464e-07,8.7064658361062e-06,5.68454213133299e-06,3.26172631649809e-05,9e-06,4.44228215619624e-05,7.52141822094045e-07,1.31162737157053e-05,1.40186247717419e-05,3.10739688151825e-07,0,0,4.76721484681708e-06,2.5e-05,2.33494720477096e-06,8.6e-05,3e-05,0.0658559056608404
0.72071148850942,4.96357774455523e-05,0.158834487825767,0.0042686768603175,0.00349016751761379,0.00157841772276856,0,0.00380210055232931,0.054996441409672,0.0349435873216688,0.000178688798803988,1.89555522104104e-07,1.28060305809525e-06,1.4195832349428e-05,6.11512778129205e-05,1.96557678684387e-05,1.05996525560877e-07,2.40237162836473e-05,5.55920707390186e-07,0.000140965607945369,6.28388942460692e-05,4.43743850363238e-06,3.67304753097087e-06,1.4195832349428e-06,4.20141887871485e-08,0.0122104012516059,4.41758419265416e-05,3.64326606450354e-06,7.13762479667043e-06,6.63133986672579e-06,1.15735835660188e-08,5.36066396411965e-07,2.29947889864358e-07,7.18726057411598e-06,0.00173282206083752,2.87887509184204e-07,4.50105157370269e-07,6.4526510679218e-05,1.39972892396458e-05,1.12176857026948e-05,5.3110281866741e-05,3.51421304314511e-06,0.00234975770427245,3.77231908586198e-07,9.53999642503516e-06,4.97350490004434e-06,3.88151779624219e-05,1.08205994831304e-05,4.35802125971949e-05,6.84973728748622e-07,1.10191425929126e-05,1.21111296967148e-05,2.87887509184204e-07,3.37523286629756e-06,1.18133150320415e-06,4.76721484681708e-06,2.17404705211519e-05,2.02513971977854e-06,0.000101256985988927,3.55392166510155e-05,3.90885024348364e-08
0.7158,5.6e-05,0.1598,0.00462,0.00349016751761379,0.00154,0.000134,0.00375,0.0538,0.0358,0.00023,1.6e-07,1.86470681577488e-06,1.237e-05,7.19e-05,2.28e-05,5e-08,2.663e-05,5.3e-07,0.000212,7.57e-05,4e-06,4.54e-06,1.89e-06,3.1e-08,0.0127053075574248,5.73e-05,4.21e-06,5.28396354304402e-06,8.56e-06,1.15735835660188e-08,6.71e-07,2.29947889864358e-07,8.23e-06,0.001584,3.3e-07,3.54e-07,6.07e-05,1.54e-05,1.82e-05,6.81e-05,4.31e-06,0.002435,3.86e-07,9.49e-06,6.04e-06,4.18e-05,1.34e-05,3.53e-05,8.2e-07,1.3e-05,1.55e-05,3.24e-07,3.76e-06,1.9e-06,4.36e-06,2.35e-05,2.37e-06,9.09e-05,3.98e-05,0.00326625873312913
0.721062206264871,5.97565364307904e-05,0.155366994720055,0.00497971136923253,0.00438214600492463,0.00164330475184674,0.000139431918338511,0.00400368794086296,0.0540796654698653,0.0363518929953975,0.000248985568461627,1.89555522104104e-07,1.89229032030836e-06,1.15529303766195e-05,5.92585652938672e-05,2.5097745300932e-05,1.05996525560877e-07,2.95794855332412e-05,4.97971136923253e-07,0.000219107300246231,7.88786280886433e-05,6.97159591692555e-06,4.78052291446323e-06,1.79269609292371e-06,2.98782682153952e-08,0.0124791566912967,5.73662749735588e-05,4.28255177753998e-06,6.97159591692555e-06,8.66469778246461e-06,1.15735835660188e-08,7.2703785990795e-07,2.58944991200092e-07,8.76429200984926e-06,0.00167318302006213,3.68498641323207e-07,3.98376909538603e-07,7.6687555086181e-05,1.54371052446209e-05,1.49391341076976e-05,6.77240746215625e-05,4.70084753255551e-06,0.00246993683913934,4.18295755015533e-07,8.96348046461856e-06,6.17484209784834e-06,5.57727673354044e-05,1.29472495600046e-05,5.45776366067886e-05,8.76429200984926e-07,1.34452206969278e-05,1.61342648363134e-05,3.38620373107812e-07,4.18295755015533e-06,9.95942273846507e-07,5.47768250615579e-06,2.46993683913934e-05,2.48985568461627e-06,9.85982851108042e-05,4.68092868707858e-05,1.32516220219259e-12
0.717180845187664,9.96721301369853e-05,0.160362490177396,0.0047344261815068,0.00349016751761379,0.00157481965616437,0,0.00361809832397257,0.0549791469835611,0.0360414422575339,0.000199344260273971,1.89555522104104e-07,1.29573769178081e-06,3.4187540636986e-05,5.13708188877082e-05,2.25845693534597e-05,1.05996525560877e-07,2.56157374452052e-05,7.12894431569388e-07,0.000220574423993149,7.51263902521239e-05,4.98360650684927e-06,3.97666604718851e-06,1.68550469699523e-06,4.20141887871485e-08,0.0127053075574248,5.15304912808214e-05,4.14626195169097e-06,5.28396354304402e-06,7.41003152458836e-06,1.15735835660188e-08,7.03256655724274e-07,2.29947889864358e-07,3.55829504589038e-05,0.00173282206083752,3.12915870756669e-07,4.50105157370269e-07,6.34911468972596e-05,1.41982025437813e-05,8.67147532191772e-06,6.47868845890405e-05,3.90348851449236e-06,0.00231767604207532,5.04507659724464e-07,8.27278680136978e-06,5.68454213133299e-06,3.26172631649809e-05,1.32563933082191e-05,4.44228215619624e-05,7.52141822094045e-07,8.97049171232868e-06,1.40186247717419e-05,3.10739688151825e-07,0,0,4.76721484681708e-06,3.45862291575339e-05,2.33494720477096e-06,9.00039335136977e-05,0,7.48745321299538e-08
0.720623379449017,9.92594186568894e-05,0.16179285241073,0.0046651926768738,0.000694815930598226,0.00148889127985334,0,0.00397037674627557,0.055585274447858,0.0353363530418526,0.000297778255970668,1.89555522104104e-07,1.86470681577488e-06,1.09185360522578e-05,6.05482453807025e-05,3.57333907164802e-05,1.05996525560877e-07,2.2432628616457e-05,7.12894431569388e-07,0.000182637330328676,7.14667814329603e-05,7.94075349255115e-06,2.38222604776535e-06,1.09185360522578e-06,4.20141887871485e-08,0.0103229795403165,5.16148977015825e-05,2.68000430373601e-06,9.92594186568894e-07,7.04741872463915e-06,1.15735835660188e-08,3.97037674627557e-07,2.29947889864358e-07,5.85630570075647e-06,0.00174398798580155,1.98518837313779e-07,4.50105157370269e-07,0.000107200172149441,1.13155737268854e-05,2.48148546642223e-05,6.35260279404092e-05,2.48148546642223e-06,0.00238222604776534,5.04507659724464e-07,1.98518837313779e-06,3.97037674627558e-06,2.68000430373601e-05,2.08444779179468e-05,3.17630139702046e-05,3.97037674627557e-07,8.53631000449249e-06,1.40186247717419e-05,1.98518837313779e-07,3.37482023433424e-06,0,4.76721484681708e-06,1.09185360522578e-05,1.09185360522578e-06,0.000151866910545041,3.87111732761869e-05,7.30014049210581e-10
