"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.717216636044859,0.00198462685590495,0.129688487613591,0.027411430336509,0.0221059922068621,0.000491244271263602,0.00112003693848101,0.010905622822052,0.0357625829479902,0.0503034133773928,0.000284921677332889,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000547246118187652,4.8141938583833e-06,5.43875038353393e-07,1.54985969160201e-07,0.00012349880979567,9.82488542527204e-05,9.82488542527204e-07,8.84239688274483e-06,4.3229495871197e-06,2.94746562758161e-06,1.0905622822052e-05,5.69843354665778e-06,1.67023052229625e-06,0.000687741979769043,2.75096791907617e-05,1.24776044900955e-05,2.84921677332889e-06,8.84239688274483e-06,2.06322593930713e-06,5.67878377580724e-05,3.49765921139685e-05,6.87741979769042e-07,1.57198166804353e-06,8.25290375722851e-05,5.51176072357761e-05,6.87741979769042e-06,2.06322593930713e-05,1.47373281379081e-05,0.000168693282751921,8.03343214081512e-06,1.37548395953808e-06,3.92995417010881e-06,1.1593364801821e-05,2.16147479355985e-05,9.36311581028425e-05,0.000110431712180058,1.96497708505441e-06,2.24007387696202e-05,7.85990834021763e-07,7.85990834021763e-07,2.65271906482345e-06,4.91244271263602e-06,9.82488542527204e-07,5.25631370252054e-05,4.42119844137242e-06,7.56516177745947e-05,0.000288851631502998,5.32597299596205e-11
0.725701118960818,0.0019542240984538,0.129076501702873,0.0278476934029666,0.020052320933304,0.000625351711505215,0.00127226411571417,0.0112367885661093,0.0318538528047969,0.0479762016170407,0.000312675855752608,3.21503621252517e-07,1.9542240984538e-06,2.29234678833234e-05,0.000527640506582526,4.5153734312878e-06,5.43875038341208e-07,1.54985969156728e-07,0.000134841462793312,6.75781779741157e-05,1.9542240984538e-06,1.17253445907228e-05,4.08396332351312e-06,4.88556024613449e-06,9.24248423899226e-06,5.33767890019086e-06,1.61728007974631e-06,0.000183493344658932,2.73591373783532e-05,1.02343341832435e-05,2.60934491694397e-06,7.81689639381519e-06,1.93372855750856e-06,4.20158181167566e-05,3.12799765124759e-05,7.1963544004267e-07,2.07560993164784e-06,4.7878490412118e-05,6.93749554951098e-05,7.20247144223996e-06,2.37976739539135e-05,1.17253445907228e-05,0.000165131936319346,8.03343214063514e-06,1.93406500611825e-06,5.2383286672854e-06,9.77112049226899e-06,1.75525349746091e-05,8.50087482827402e-05,9.64597974813872e-05,1.57011142090159e-06,2.73591373783532e-05,8.32464746844848e-07,6.9218567807746e-07,2.9313361476807e-06,1.17253445907228e-05,1.66278317983995e-06,4.7878490412118e-05,4.81164264229366e-06,6.48700827133599e-05,0.000268705813537397,1.11022302462516e-16
0.718601318035632,0.0020535744806881,0.129683677706069,0.0278635215148298,0.0200523209337533,0.000496172346573644,0.00122795168266717,0.0113810155954518,0.0361397161890662,0.0499866184968659,7.28784331989457e-05,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000530415226830135,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000122196167445904,6.75781779756297e-05,1.83693585049397e-06,4.64225636130271e-06,3.43427137266265e-06,5.41669280546926e-06,8.52577834957529e-06,4.74208983143825e-06,1.7670524213991e-06,0.000183493344663043,2.51380677801295e-05,1.17204493939126e-05,2.60934491700243e-06,9.1347625174021e-06,2.01663609673795e-06,6.06188830663012e-05,3.12799765131767e-05,6.68884249908132e-07,2.07560993169434e-06,4.54342122586852e-05,5.38801238321521e-05,1.73211070685166e-05,2.37976739544466e-05,1.38768523488404e-05,0.000156948198400086,8.03343214081512e-06,1.93406500616158e-06,3.83360525320482e-06,1.07520647335979e-05,1.94176099413629e-05,8.88418050736189e-05,9.67885492964081e-05,1.87686923854819e-06,2.03460612136235e-05,8.32464746863499e-07,6.92185678092967e-07,2.87520393990361e-06,6.05882513231465e-06,1.6627831798772e-06,5.47087416342771e-05,4.53243954415361e-06,6.48700827148133e-05,0.000284525389886295,0.000348418943636908
0.722251087048943,0.00187162720320921,0.129536303801058,0.0265968076245519,0.0200523209337533,0.000512234813509889,0.00128058703377472,0.0106387230498208,0.035166890081352,0.0497458809274027,0.00022656539828322,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000503369210968372,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000114267766090668,6.75781779756297e-05,2.95520084717244e-06,3.94026779622992e-06,4.08396332360461e-06,5.91040169434487e-06,9.24248423919933e-06,5.33767890031044e-06,1.61728007978255e-06,0.000183493344663043,2.75818745736094e-05,1.02343341834728e-05,2.60934491700243e-06,7.63085291673083e-06,1.93372855755189e-06,6.20592177906212e-05,3.12799765131767e-05,7.19635440058792e-07,2.07560993169434e-06,4.82682805038165e-05,5.50127863959781e-05,5.91040169434487e-06,2.75818745736094e-05,1.46888690135287e-05,0.000159580845747312,8.03343214081512e-06,1.93406500616158e-06,5.23832866740276e-06,1.1520775186058e-05,1.75525349750023e-05,8.86560254151731e-05,9.64597974835483e-05,1.57011142093677e-06,2.26606847774523e-05,8.32464746863499e-07,6.92185678092967e-07,3.16628181027525e-06,5.91040169434487e-06,1.6627831798772e-06,5.31936152491039e-05,4.81164264240146e-06,6.00890838925062e-05,0.000276803812685152,7.15559613815309e-05
0.722363814845268,0.00196321188978195,0.128394057591739,0.0268960028900127,0.0213008490041341,0.000490802972445487,0.00137424832284736,0.0105031836103334,0.0353378140160751,0.0489821366500596,0.000294481783467292,3.21503621259719e-07,3.9264237795639e-07,2.2923467883837e-05,0.00052417757457178,4.51538734649848e-06,3.04297842916202e-07,1.54985969160201e-07,0.000129571984725609,6.75781779756297e-05,2.01393126861804e-06,6.87124161423682e-06,3.9264237795639e-06,5.41669280546926e-06,9.48231342764681e-06,5.22214362681998e-06,1.6098337496212e-06,0.000183493344663043,2.45401486222743e-05,1.06013442048225e-05,1.76689070080375e-06,7.63085291673083e-06,1.84541917639503e-06,6.17430139336423e-05,2.89573753742837e-05,6.28227804730223e-07,1.57056951182556e-06,5.17306332957543e-05,5.43809693469599e-05,4.90802972445487e-06,2.20861337600469e-05,1.49204103623428e-05,0.000154112133347883,5.88963566934584e-05,1.47240891733646e-06,4.90802972445487e-06,1.11903077717571e-05,1.42332862009191e-05,8.44181112606237e-05,9.12893528748606e-05,1.78652281970157e-06,2.22824549490251e-05,8.32464746863499e-07,6.92185678092967e-07,2.83684118073491e-06,4.90802972445487e-06,1.6627831798772e-06,5.62460206422528e-05,4.48593916815175e-06,6.67492042525862e-05,0.000261107181340999,8.43377367942821e-10
0.643,0.0018,0.125,0.0195,0.0200523209337533,0.000538993320990799,0.00127226411574267,0.0106628308164338,0.0176,0.036,4e-04,6.5e-07,1.20548103293641e-06,2.2923467883837e-05,0.000628,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000198,6.75781779756297e-05,1.67e-06,9.66e-06,4.49e-06,6.37e-06,1.81e-05,9.96e-06,3.11e-06,0.000183493344663043,2.394e-05,2.4e-05,2.60934491700243e-06,7.63085291673083e-06,1.93372855755189e-06,9.351e-05,3.12799765131767e-05,1.76e-06,2.38e-06,5.901e-05,1e-04,5.75e-06,2.63e-05,1.46888690135287e-05,0.00012938,8.03343214081512e-06,1.9e-06,9.657e-05,1.823e-05,1.213e-05,8.69e-05,0.0001685,1.57011142093677e-06,3.504e-05,2.17e-06,6.92185678092967e-07,4.75e-06,6.05882513231465e-06,1.6627831798772e-06,5.36230901467327e-05,6.31e-06,6.48700827148133e-05,0.0001194,0.121800582824754
0.721898762704855,0.00194460715774303,0.127660039742487,0.0274687975900284,0.0200523209334289,0.000478822867986977,0.00124103069866012,0.0107002253152192,0.0361755562711793,0.0500516475475366,0.000312700648481291,3.21503621254518e-07,1.20548103291691e-06,2.29234678834661e-05,0.000512731344556667,4.51537343131591e-06,5.43875038344595e-07,1.54985969157693e-07,0.000122832723481557,6.75781779745364e-05,2.01393126858546e-06,7.62207830673146e-06,4.08396332353854e-06,5.41669280538163e-06,9.24248423904981e-06,5.33767890022409e-06,1.61728007975638e-06,0.000183493344660075,1.82734441456254e-05,1.02343341833072e-05,2.60934491696022e-06,7.63085291660738e-06,1.9337285575206e-06,6.09766264538517e-05,3.12799765126707e-05,7.1963544004715e-07,2.07560993166076e-06,4.68073783195432e-05,5.50127863950882e-05,5.8631371590242e-06,2.26707970148936e-05,1.4688869013291e-05,0.00015019403022367,8.03343214068516e-06,1.93406500613029e-06,5.23832866731802e-06,1.15207751858717e-05,1.75525349747184e-05,8.47223319478997e-05,9.64597974819877e-05,1.57011142091137e-06,2.21822022516416e-05,8.32464746850031e-07,6.92185678081769e-07,3.16628181022403e-06,6.74260773287783e-06,1.6627831798503e-06,5.47226134842259e-05,4.81164264232362e-06,6.19538159803557e-05,0.000249085610305878,0
0.715860821696164,0.0021671856443258,0.131016223043333,0.0279763964994785,0.0206867720594736,0.000492542191892228,0.00147762657567668,0.0109344366600075,0.0357585631313757,0.0510273710800348,0.000492542191892228,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000537856073546313,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000125696767370896,6.75781779756297e-05,2.95525315135337e-06,1.18210126054135e-05,4.08396332360461e-06,4.92542191892228e-06,1.04911486873044e-05,5.33767890031044e-06,1.62538923324435e-06,0.000183493344663043,2.46271095946114e-05,1.10526467860616e-05,2.60934491700243e-06,7.63085291673083e-06,2.46271095946114e-06,6.20898687099342e-05,3.12799765131767e-05,9.85084383784455e-07,2.07560993169434e-06,4.3343712886516e-05,5.73614636677688e-05,5.91050630270673e-06,2.37976739544466e-05,1.46888690135287e-05,0.000152829258075983,8.03343214081512e-06,1.93406500616158e-06,3.94033753513782e-06,1.0963989191521e-05,1.75525349750023e-05,8.47172570054632e-05,9.64597974835483e-05,1.57011142093677e-06,2.46271095946114e-05,8.32464746863499e-07,6.92185678092967e-07,3.16628181027525e-06,6.05882513231465e-06,1.6627831798772e-06,5.51647254919295e-05,6.0582689602744e-06,6.60006537135585e-05,0.000290599893216414,1.21090309768146e-06
0.721820555820708,0.00207931847355759,0.128719715029756,0.0278232614795088,0.0200523209337533,0.000495075827037523,0.00128719715029756,0.010792653029418,0.0340612169001816,0.0502997040270123,0.000297045496222514,8.31727389423038e-07,2.1189245397206e-06,2.2923467883837e-05,0.000526760679967924,4.91115220421222e-06,3.1981898426624e-07,3.66356112007767e-08,0.000124759108413456,6.75781779756297e-05,1.87138662620184e-06,5.65376594476851e-06,4.13883391403369e-06,4.77253097264172e-06,1.04956075331955e-05,5.50524319665725e-06,1.73276539463133e-06,0.000183493344663043,2.68331098254337e-05,1.1584774352678e-05,1.57434112997932e-06,9.37673616409068e-06,1.99020482469084e-06,6.35677361916179e-05,3.08927316071414e-05,7.19635440058792e-07,1.55453809689782e-06,5.80228869287977e-05,5.76268262671676e-05,4.96065978691598e-06,2.41597003594311e-05,1.46542444803107e-05,0.000154463658035707,8.03343214081512e-06,1.27729563375681e-06,4.4754854764192e-06,1.18818198489005e-05,2.2773488043726e-05,8.46579664234164e-05,8.86185730397165e-05,1.79217449387583e-06,2.04961392393534e-05,8.7133345558604e-07,7.38653133939984e-07,2.59419733367662e-06,3.96060661630018e-06,7.42613740556284e-07,5.30721286584224e-05,4.94085675383448e-06,6.91125854544382e-05,0.000285163676373613,0.00017684785198091
0.720668927206511,0.0019642107582625,0.128754015204107,0.0270078979261094,0.0200523209337533,0.000491052689565625,0.00186600022034938,0.0106067380946175,0.0354540041866381,0.0506766375631725,0.0003928421516525,3.21503621259719e-07,1.20548103293641e-06,2.2923467883837e-05,0.000517569534802169,4.51537343138896e-06,5.43875038353393e-07,1.54985969160201e-07,0.000124825593687582,6.75781779756297e-05,2.01393126861804e-06,7.95505357096313e-06,4.17394786130781e-06,2.16063183408875e-06,1.01353275126345e-05,5.46050590796975e-06,1.61065282177525e-06,0.000183493344663043,2.3792545299743e-05,9.93890643680825e-06,2.60934491700243e-06,7.542569311728e-06,1.98385286584513e-06,6.01048492028325e-05,3.12799765131767e-05,6.97294819183188e-07,1.68922125210575e-06,5.04802164873463e-05,5.656926983796e-05,5.30336904730875e-06,2.2784844795845e-05,1.39458963836638e-05,0.00015085138623456,8.03343214081512e-06,1.93406500616158e-06,4.37036893713406e-06,1.19522224640273e-05,2.10170551134088e-05,8.8782326273465e-05,9.64597974835483e-05,1.74814757485363e-06,2.15081078029744e-05,8.32464746863499e-07,7.85684303305e-07,2.87756876085456e-06,4.12484259235125e-06,2.45526344782813e-06,5.33283220868269e-05,4.75339003499525e-06,6.33457969539656e-05,0.000271061084640225,9.76819260956052e-06
