"SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr","Rest"
0.5239,0.0033,0.2234,0.0218,0.0052,0.0013,0.0021,0.0204,0.0691,0.0913,0.00043,2.60810053327138e-07,2.88e-05,6.07883658571231e-05,0.000414,1.13e-05,1.38e-06,3.53250422115441e-06,6.5e-07,0.000282,0.00167123773202981,1.49e-06,4.5e-05,1.24e-05,1.51e-06,3.86e-06,1.94e-06,2.27e-06,0.00398067833222638,2.15e-05,7.09e-06,1.3089644353539e-06,9.76486277427146e-06,6.05884556459638e-07,7e-07,2.22590196833945e-08,0.000159,5.96e-05,2.8e-07,4.203306130714e-06,4.55e-05,8.6e-05,4.42562150940095e-06,0.000105,2.84e-05,0.000221,0.000546960422178146,2.75e-06,7.3e-07,6.6684449715962e-07,1.07e-05,1.6e-06,0.00174,2.02037998773811e-06,7.8e-07,4.76904932672297e-07,5.23e-05,1.84e-06,2.8e-07,1.12e-05,3.01e-05,6.2e-06,2.75e-05,1.86e-06,0.000102,0.000597,0.0273555368055906
0.5186,0.0033,0.2248,0.0266,0.00945465629583842,0.0014,0.0027,0.0218,0.0699,0.0902,0.00035,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000427,9.37e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.000266,0.00167123773202981,1.64e-06,4.09e-05,1.12e-05,4.1e-06,4.35e-06,2.17e-06,2.47e-06,0.00398067833222638,2.32e-05,8.1e-06,1.21e-06,1.02e-05,6.05884556459638e-07,7.5e-07,2.22590196833945e-08,0.00015,5.87e-05,3.2e-07,4.203306130714e-06,4.43e-05,9.03e-05,2.34e-06,0.000122,2.86e-05,0.000174,0.000546960422178146,3.31974704415508e-06,9.8e-07,6.6684449715962e-07,1.11e-05,2.06405971588609e-06,0.001706,1.94e-06,8.8e-07,4.76904932672297e-07,6.02e-05,2.13064679858618e-06,3.1e-07,1.34e-05,2.94e-05,7.03793773397355e-06,2.58e-05,2.1e-06,9.17e-05,0.000631,0.020529244733172
0.5139,0.003,0.2208,0.0259,0.00945465629583842,0.0014,0.0022,0.0225,0.0685,0.0894,3e-04,2.60810053327138e-07,1.94e-05,6.07883658571231e-05,0.000402,8.10553990510511e-06,1.07186408662396e-06,2e-06,3.91319565003037e-07,0.0002648,0.00167123773202981,2.21495443888573e-06,3.88e-05,1.34782795392636e-05,7.2e-06,4.15530768680767e-06,2.13289340950825e-06,2.62123308036634e-06,0.00398067833222638,2.03e-05,7.75749266762371e-06,1.8e-06,9.76486277427146e-06,6.05884556459638e-07,7.56086875100028e-07,2.22590196833945e-08,0.0001457,5.46009871509126e-05,3.09069672701858e-07,4.4e-06,3.94e-05,8.17e-05,3.5e-06,0.0001027,2.74896573145683e-05,0.0001891,0.000546960422178146,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.1e-05,2.06405971588609e-06,0.0015965,3e-06,9.00111131564421e-07,4.76904932672297e-07,5.22e-05,2.13064679858618e-06,3.19296451559375e-07,1.66e-05,2.47e-05,3.4e-06,2.62e-05,2.00476709557621e-06,7.09e-05,0.0005788,0.032530586485451
0.509,0.003467,0.2265,0.02731,0.00945465629583842,0.0014,0.0021,0.0218,0.068,0.09207,0.000418,2.60810053327138e-07,2.11e-05,6.07883658571231e-05,0.000437,8.10553990510511e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.0002827,0.00167123773202981,1.533e-06,4.353e-05,1.213e-05,6.3e-06,4.04e-06,1.783e-06,2.433e-06,0.00398067833222638,2.37e-05,6.4e-06,1.3089644353539e-06,5.743e-06,4.8e-07,6.267e-07,2.22590196833945e-08,0.000161,5.587e-05,2.667e-07,3.607e-06,3.39e-05,8.397e-05,4.42562150940095e-06,0.0001253,2.787e-05,0.000186,0.000546960422178146,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.047e-05,2.06405971588609e-06,0.0017567,2.02037998773811e-06,7.6e-07,4.76904932672297e-07,6.043e-05,2.18e-06,2.5e-07,1.32e-05,2.867e-05,7.03793773397355e-06,2.50456321676318e-05,1.67e-06,9.883e-05,0.000287,0.0283721145760395
0.537,0.0037,0.219,0.0288,0.00945465629583842,0.0015,0.0031,0.0246,0.068,0.0876,6e-04,2.60810053327138e-07,2.26200303427732e-05,6.07883658571231e-05,0.000345,7.7e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.0002931,0.00167123773202981,2.1e-06,4.54e-05,1.16e-05,6.2e-06,4.1e-06,2.1e-06,2.5e-06,0.00398067833222638,1.99e-05,8.5e-06,1.3089644353539e-06,9.5e-06,6.05884556459638e-07,8e-07,2.22590196833945e-08,0.000161,5.46009871509126e-05,3e-07,3.7e-06,4.27e-05,8.87e-05,3.6e-06,7.01e-05,2.69e-05,0.0001821,0.000546960422178146,3.31974704415508e-06,3e-07,6.6684449715962e-07,1.11e-05,7e-07,0.001357,1.7e-06,9e-07,4.76904932672297e-07,6.12e-05,1.1e-06,3e-07,1.24e-05,2.92e-05,5.1e-06,2.57e-05,2.1e-06,0.0001549,0.0005711,0.00672440073196479
0.5295,0.0035,0.2289,0.0254,0.00945465629583842,0.00126,0.00233,0.0235,0.0726,0.0891,4e-04,2.60810053327138e-07,2.798e-05,6.07883658571231e-05,0.00042,8.62e-06,1.07186408662396e-06,3.53250422115441e-06,3.91319565003037e-07,0.000248,0.002113,1.53e-06,2.61e-05,1.34782795392636e-05,3.55e-06,4.1e-06,2.15e-06,2.45e-06,0.00414,2.14823662766633e-05,7.33e-06,1.3089644353539e-06,1.04e-05,6.05884556459638e-07,7.3e-07,2.22590196833945e-08,0.000154,5.84e-05,3e-07,3.55e-06,4.601e-05,8.29e-05,3.02e-06,0.000105,2.58e-05,0.000186,0.001613,3.05e-06,1.37148695570758e-06,6.6684449715962e-07,1.09e-05,2.06405971588609e-06,0.001724,3.4e-06,8.5e-07,4.76904932672297e-07,6.218e-05,2.13064679858618e-06,2.98e-07,1.365e-05,2.65e-05,7.03793773397355e-06,2.45e-05,1.98e-06,9.59e-05,0.000584,0.00209352520591688
0.5167,0.0034,0.2246,0.026,0.00945465629583842,0.0014,0.0026,0.0226,0.0698,0.0908,0.00038012064556714,2.60810053327138e-07,2.42e-05,6.07883658571231e-05,0.000474,8.37e-06,9.9e-07,3.53250422115441e-06,3.91319565003037e-07,0.000306,0.00167123773202981,1.5e-06,3.3e-05,1.29e-05,3.6e-06,4.45e-06,2.33e-06,2.59e-06,0.00398067833222638,2.28e-05,6.9e-06,1.3089644353539e-06,1.08e-05,6.05884556459638e-07,8e-07,2.22590196833945e-08,0.0001745,5.88e-05,3e-07,4.18e-06,4.19e-05,9.63e-05,4.42562150940095e-06,0.000124,2.95e-05,0.0001995,1.8e-07,2.91e-06,1.37148695570758e-06,6.6684449715962e-07,1.2e-05,2.06405971588609e-06,0.001725,1.9e-06,8.7e-07,4.76904932672297e-07,6.32e-05,2.01e-06,3.2e-07,1.355e-05,2.81785398688409e-05,7.03793773397355e-06,2.55e-05,2.31e-06,0.000105,0.000672,0.0222312154914164
0.5205,0.0035,0.2282,0.0265,0.00945465629583842,0.0014,0.0024,0.0227,0.0677,0.0911,0.00038,2.60810053327138e-07,2.05e-05,6.07883658571231e-05,4e-04,1.03e-05,1.07186408662396e-06,3.53250422115441e-06,5e-07,0.000314,0.00167123773202981,1.26e-06,4.4e-05,1.11e-05,1.3e-05,4.23e-06,2.55e-06,2.42e-06,0.00398067833222638,2.4e-05,6.33e-06,1.3089644353539e-06,7.08e-06,6.05884556459638e-07,7.65e-07,2.22590196833945e-08,0.000165,5.1e-05,3.19e-07,4.203306130714e-06,3.5e-05,8.92e-05,4.42562150940095e-06,0.000128,2.82e-05,0.000187,0.000546960422178146,3.31974704415508e-06,1.37148695570758e-06,6.6684449715962e-07,1.124e-05,2.06405971588609e-06,0.001641,1.02e-06,8.67e-07,4.76904932672297e-07,5.47787296232237e-05,2.13064679858618e-06,3.07e-07,1.25e-05,3.6e-05,7.03793773397355e-06,2.395e-05,2.09e-06,9.6e-05,0.000565,0.015882673280556
0.511,0.0033,0.2295,0.0293,0.0081,0.00145,0.0033,0.0234,0.0656,0.093,0.00029,6e-07,2.26200303427732e-05,6.07883658571231e-05,0.000416,8.1e-06,1.07186408662396e-06,3.53250422115441e-06,1.8e-07,0.000287,0.00167123773202981,1.4e-06,4.87e-05,1.34782795392636e-05,1.61e-05,5.41e-06,2.07e-06,2.54e-06,0.00398067833222638,2.14823662766633e-05,7.07e-06,1.3089644353539e-06,9.76486277427146e-06,6.05884556459638e-07,7.4e-07,2.22590196833945e-08,0.0001469,5.2e-05,2.95e-07,5e-06,3.77642075454809e-05,7.98e-05,3.4e-06,0.000109,2.614e-05,0.00019858416754829,0.00173,3.31974704415508e-06,1.37148695570758e-06,1.04e-06,1.139e-05,2.06405971588609e-06,0.001537,2.02037998773811e-06,1.42e-06,4.76904932672297e-07,5.47787296232237e-05,2.13064679858618e-06,2.8e-07,1.22949343380155e-05,2.61e-05,7.03793773397355e-06,2.38e-05,1.8e-06,0.00011,0.000579,0.0204112903524106
0.52,0.0035,0.222,0.0261,0.00945465629583842,0.0014,7e-04,0.0229,0.0723,0.0921,0.00039,6e-07,2.7e-05,6.07883658571231e-05,0.000341,8.5e-06,2.62e-06,3.53250422115441e-06,2.7e-07,0.000313,0.00161,2e-06,2.4e-05,1.19e-05,1.44e-05,4.64e-06,2.4e-06,3.06e-06,0.0044,2.53e-05,9.17e-06,3e-07,7.21e-06,6.05884556459638e-07,1.07e-06,7e-08,0.000198,5.5e-05,5.6e-07,2.44e-06,4.54e-05,8.8772742137406e-05,3.9e-06,8.86e-05,3.02e-05,0.00015,9e-04,4.52e-06,6e-07,6.6684449715962e-07,1.19e-05,1.8e-06,0.00132,3.16e-06,1.34e-06,6.1e-07,6.27e-05,1.5e-06,5.2e-07,8.2e-06,2.9e-05,7.7e-06,2.72e-05,2.5e-06,0.000107,0.000283,0.0188451173628922
