"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","B01","58.1","0.44","15.5","9.07",NA,"0.12","4.63","6.66","2.67","0.22","0.05",NA,"0.04","3.35",NA,NA,NA,NA,NA,"120",NA,NA,NA,NA,NA,NA,"30","7.9",NA,"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,"76","56"
"2","B02","58.266","0.439","15.081","8.897",NA,"0.129","4.678","6.45","2.313","0.215","0.0453",NA,NA,"3.012",NA,NA,NA,NA,NA,"146.4",NA,NA,NA,NA,NA,NA,NA,"30.2",NA,"56.1",NA,NA,NA,NA,"13.4",NA,NA,NA,NA,NA,NA,NA,NA,"5.7",NA,NA,NA,NA,"2.7",NA,"14.5",NA,"5.3",NA,NA,NA,"1.9",NA,NA,NA,NA,NA,"32.4",NA,NA,NA,"102.3",NA,NA,NA,NA,NA,NA,NA,"221.9",NA,"22.4",NA,"75.8","57.7"
"3","B03","58.609","0.4392","15.042","8.912",NA,"0.1283","4.75","6.533","2.506","0.207","0.0502",NA,NA,"3.11",NA,NA,NA,NA,NA,"133.1",NA,NA,NA,NA,NA,NA,"26.4","29.4",NA,"53.9",NA,NA,NA,NA,"13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.7",NA,"14.8",NA,"2.6",NA,NA,NA,"1.4",NA,NA,NA,"52.7",NA,"29.7",NA,NA,NA,"102",NA,NA,NA,"3.1",NA,NA,"0.3","220.4",NA,"23.2",NA,"77.5","55.3"
"4","B04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.1",NA,NA,NA,NA,NA,NA,NA,"0.6",NA,NA,NA,NA,"1.82",NA,"0.87",NA,NA,NA,"5.92",NA,"0.43",NA,NA,NA,"9.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.49",NA,NA,NA,"0.55",NA,"1.85",NA,NA,NA,NA,NA,NA,"2.78",NA,NA
"5","B104",NA,NA,NA,"9.13",NA,NA,NA,NA,"2.55",NA,NA,NA,NA,NA,NA,NA,"8.64",NA,NA,"159",NA,NA,NA,NA,NA,NA,"26.7","25.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","B05","58.5","0.46","14.53","9.86","5.11","0.14","4.84","5.72","2.55","0.21","0.03",NA,NA,"3.17",NA,NA,NA,NA,NA,"123",NA,NA,NA,NA,"12.3",NA,"24","23","0.13",NA,"3.5","2.24","0.5",NA,NA,"2.7",NA,"1.4",NA,"0.79",NA,NA,NA,"5.6",NA,"0.35","0.74",NA,"1.8","7","15",NA,"3.6",NA,"1.6",NA,"1.9",NA,NA,NA,NA,NA,"33",NA,"2.11",NA,"106","0.13","0.49",NA,"1.56",NA,"0.35","0.35","231",NA,"21.8","2.36",NA,"42"
"7","B105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.02",NA,NA,NA,"0.26",NA,NA,NA,NA
"8","B06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135.08",NA,NA,NA,NA,"13.7",NA,"25.72","28.06","0.16","70.38","3.46","2.55","0.57",NA,"11.57","3.12",NA,"1.32",NA,"0.85",NA,NA,NA,"6.36",NA,"0.42",NA,NA,"2.45","8.87","19.3",NA,NA,NA,"1.75",NA,"1.86",NA,NA,NA,NA,NA,"31.24",NA,"2.27",NA,"102.2","1.29","0.56",NA,"2.2",NA,"0.38","0.45","240.48",NA,"20.83","2.53","82.58","42.87"
"9","B07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143",NA,NA,NA,NA,"12.8",NA,"26.4",NA,"0.15",NA,"3.76","2.76","0.54",NA,"14.2","3",NA,"2.09",NA,"0.89",NA,NA,NA,"6.45",NA,"0.44",NA,NA,"1.96","7.58",NA,NA,NA,NA,"2.59",NA,"2.24",NA,NA,NA,NA,NA,NA,NA,"2.25","0.77","108","0.15","0.67",NA,"1.95","0.06","0.4","0.5",NA,"0.55","21.3","2.56",NA,"53.9"
"10","B08","58.49","0.47","14.94","8.77",NA,"0.13","4.91","6.4","2.64","0.21","0.05",NA,NA,"3",NA,NA,NA,NA,NA,"216",NA,NA,NA,NA,NA,NA,"23","54",NA,"49",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108",NA,NA,NA,NA,NA,NA,NA,"226",NA,"21",NA,"77","59"
