"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","V1","72.244","0.302","13.996","2.484",NA,"0.06","0.399","1.172","3.695","4.708","0.128",NA,NA,"0.577",NA,NA,"1.8",NA,NA,"352.9",NA,NA,NA,NA,"63.8",NA,NA,"201.6",NA,"3",NA,NA,NA,NA,"22.5",NA,NA,NA,NA,NA,NA,NA,NA,"35.3",NA,NA,NA,NA,"15.9",NA,"4.6",NA,"28",NA,NA,NA,"280.8",NA,NA,NA,NA,NA,"5.5",NA,NA,NA,"114.3",NA,NA,NA,"20.1",NA,NA,"6.3","12.3",NA,"27.9",NA,"52.8","170.6"
"2","V2","72.17","0.28","13.99","2.35",NA,"0.06","0.42","1.16","3.69","4.67","0.13",NA,NA,"0.55",NA,NA,"3",NA,NA,"287",NA,"1",NA,NA,"48","23",NA,"156","13","7",NA,NA,NA,"464","22",NA,"1","4",NA,NA,NA,NA,NA,"21",NA,NA,"3",NA,"15","21","4",NA,"27",NA,NA,NA,"270",NA,NA,NA,"40","2","2",NA,"8","14","109","1",NA,NA,"19","1",NA,"3","11",NA,"23","1","50","161"
"3","V3","67.814","0.2819","13.195","2.117",NA,"0.0586","0.3942","1.124","3.365","4.478","0.1343",NA,"0.3311","0.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"197.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"186.7"
"4","V4","72.19","0.3","14.06","2.46",NA,"0.061","0.39","1.21","3.63","4.75","0.14",NA,NA,"0.67",NA,NA,"1.99",NA,NA,"333","8.43","1.17",NA,"0.23","64.5",NA,"2.44","198","16.3","6.7","4.29","2.31","0.588",NA,"21.6","4.61","1.57","4.43",NA,"0.81",NA,NA,NA,"29.6",NA,"0.361","3.3",NA,"13.3","26.6","6.4",NA,"25",NA,"7.37",NA,"264",NA,NA,NA,NA,"0.2",NA,NA,"5.62","13.2","104","2.67","0.744",NA,"19.5",NA,"0.347","5.16","12","0.63","24.5","2.43","55.6","159"
"5","V5","72.8","0.29","13.97","2.43","1.68","0.04","0.33","1.13","3.69","4.6","0.13",NA,NA,"0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","V6","72.6","0.26","14.1","2.35",NA,"0.055","0.38","1.15","3.74","4.74","0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","V7","72.15","0.3","14.03","2.45","2.13","0.06","0.4","1.17","3.63","4.67","0.13","0.38","0.04","0.5",NA,NA,NA,NA,NA,"331",NA,NA,NA,NA,NA,NA,"2","209",NA,"6",NA,NA,NA,NA,"22",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"7",NA,"26",NA,NA,NA,"270",NA,NA,NA,NA,NA,"6",NA,NA,NA,"108",NA,NA,NA,"22",NA,NA,"6","17",NA,"25",NA,"53","166"
"8","V8","72.07","0.3","14.09","2.53","1.75","0.06","0.36","1.17","3.66","4.74","0.135","0.41",NA,"0.54",NA,NA,NA,NA,NA,"354",NA,NA,NA,NA,"68",NA,NA,"196","22",NA,NA,NA,NA,"1100","26",NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,"8",NA,"14",NA,"10",NA,"27",NA,NA,NA,"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,"19",NA,NA,NA,"17",NA,"24",NA,"56","178"
"9","V9","72.39","0.29","14.21","2.49",NA,"0.0545","0.38","1.08","3.38","4.62","0.14",NA,NA,"0.62",NA,NA,NA,NA,NA,"435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","V10","72.31","0.29","14.03","2.484",NA,"0.06","0.41","1.134","3.7","4.722","0.14",NA,NA,"0.51",NA,NA,"4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"6.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.7",NA,"22.7",NA,NA,NA,"360",NA,NA,NA,"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,"4",NA,NA,NA,NA,"53.9",NA
