"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","Z01","51.29","3.69","12.25","15.77","9.59","0.2","3.78","7.78","2.81","1.49","0.58",NA,NA,"0.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Z02","50.44","3.76","12.48","15.82",NA,"0.213","3.97","7.88","2.7","1.54","0.63",NA,NA,"0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Z03","49.79","3.76","12.09","15.34",NA,"0.214","3.85","7.75","2.6","1.5","0.62",NA,NA,"0.84",NA,NA,NA,NA,"656",NA,NA,NA,NA,"83",NA,"49","29",NA,"185",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,"28",NA,"18",NA,"5",NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"481",NA,NA,NA,NA,NA,NA,"18","413",NA,"31",NA,"138","234"
"4","Z04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"561.7",NA,NA,NA,NA,"87.16",NA,"37.21","10.224","0.344","161.58","8.484","4.048","3.206",NA,"24.828","10.72",NA,"7.782",NA,"1.612",NA,NA,NA,"41.468",NA,"0.523",NA,"32.796","53.548","23.813",NA,"5.18",NA,"12.467",NA,"35.227",NA,NA,NA,NA,NA,"28.44",NA,"11.215",NA,"489.92","1.937","1.531",NA,"4.356",NA,"0.594","0.858","380.86",NA,"44.288","3.494","144.67","333"
"5","Z05","50.33","3.51","12.5","15.27","10.51","0.228","3.86","8.41","2.64","1.5","0.583","1.64","0.052","0.51",NA,NA,NA,NA,NA,"2.2",NA,NA,NA,NA,NA,"37","22",NA,"163",NA,NA,NA,"1140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6",NA,NA,"29",NA,"14.5",NA,NA,NA,NA,NA,"31",NA,NA,NA,"450",NA,"28",NA,NA,NA,"471",NA,NA,NA,"5.5",NA,NA,NA,"395",NA,NA,NA,"147","316"
"6","Z06","50.65","3.78","12.53","15.95",NA,"0.22","3.97","8.04","2.76","1.54","0.67",NA,NA,"0.42",NA,NA,NA,NA,"507",NA,NA,NA,NA,NA,NA,"43",NA,NA,"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,"24",NA,"6",NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"506",NA,NA,NA,NA,NA,NA,NA,"380",NA,"46",NA,"145","313"
"7","Z07","50.34","3.71","12.41","15.67","10","0.22","3.94","7.87","2.81","1.62","0.64","1.41","0.07","0.43",NA,"12",NA,NA,"422",NA,NA,NA,"10","190","27","27","17",NA,"154","4","3","2","748","26","17",NA,"11",NA,"4",NA,NA,NA,"19",NA,NA,"2","36","53","19",NA,"5",NA,"10",NA,"34",NA,NA,NA,"127","22","28",NA,"17","2","487","0","2",NA,"3",NA,NA,NA,"355",NA,"35","5","107","314"
"8","Z08",NA,NA,"11.5","15.6",NA,"0.217","3.84","7.8","2.66","1.49",NA,NA,NA,NA,NA,NA,NA,NA,"551","1.63",NA,NA,"0.14","86.2",NA,"37.5","11","0.361","157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.7","6.26",NA,NA,NA,NA,"21",NA,"5.25",NA,NA,NA,"33.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"500",NA,NA,NA,NA,NA,NA,"0.83","400",NA,"37.9",NA,"141",NA
"9","Z09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"490",NA,NA,NA,NA,"85.3",NA,"35.9","10.5","0.28","159","7.93","3.96","3.17",NA,"23.4","10.4",NA,"5.21",NA,"1.45",NA,NA,NA,"38.4",NA,"0.46",NA,"25.3","47.6","22.3",NA,NA,NA,"10.9",NA,"29.5",NA,NA,NA,NA,NA,NA,NA,"10.5",NA,"465","1.84","1.46",NA,"3.98",NA,"0.51","0.74","380",NA,"35.5","3.35",NA,"198"
"10","Z10","50.25","3.85","12.49","15.75",NA,"0.221","3.93","7.88","2.62","1.52","0.635",NA,NA,"0.36",NA,NA,NA,NA,"572",NA,NA,NA,NA,"101",NA,"54","9",NA,"162",NA,NA,NA,NA,"28",NA,"1.6","6",NA,NA,NA,NA,NA,"42",NA,NA,NA,"27","48","35",NA,NA,NA,"9",NA,"34",NA,NA,NA,"380",NA,NA,NA,"7","7","475",NA,NA,NA,"3.6",NA,NA,NA,"385",NA,"37",NA,"131","293"
"11","Z11","48.365","3.629","13.56","14.255",NA,"0.206","4.10569105691057","7.77","3.3","1.685","0.778",NA,NA,"1",NA,NA,NA,NA,"555.5",NA,NA,NA,NA,"55.5","125",NA,"33",NA,"189",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"2.18788867916612","27.7635861782815",NA,"29.5",NA,"7.4788297428378",NA,NA,NA,"34.6973118592471",NA,NA,NA,"440",NA,NA,NA,NA,NA,"490.393046946238",NA,NA,NA,"3.23752859199269",NA,NA,NA,"376.5",NA,"38.8745318931744",NA,"148.5","318.731122903215"
"12","Z12","51.08","3.936","12.7","15.15","8.65","0.199","2.89","7.84","2.8","1.64","0.63",NA,NA,"1.7","1.01872925","2.48704325",NA,NA,"549.15505825","1.2640615","0.0220285",NA,"0.2686665","93.779671",NA,"31.680047","9.56614125","0.3686985","133.62609425","8.65326775","4.1178605","3.5679455",NA,"22.6308175","10.35203875","1.3276405","8.0874655",NA,"1.616499",NA,NA,"0.03222325","38.62559625","5.939728","0.488605","1.47352625","29.318794","53.463677","18.03506175",NA,"5.7259915","7.326296","12.13106025","0.070369","32.41564125",NA,"0.01333175",NA,NA,"0.062025","20.88544025","0.6939295","11.2394645","2.53166175","457.166588","2.09718475","1.4610685",NA,"4.0338475","0.116679","0.5681705","0.9373375","395.65296725","0.52410575","32.93880425","3.4692195","119.98819525","278.054581"
"13","Z13","48.37","3.929","13.89","16.27",NA,"0.216","3.64","8.09","2.696","1.551","0.554",NA,NA,"0.8","1","3",NA,NA,"508","2","2.6",NA,"0.15","87.9",NA,"35.4","30.9",NA,"164.7","8.17","4.15","3.31",NA,"26","10.51","2.2","8.9",NA,"1.52",NA,NA,NA,"39.8","7.3","0.48","3.3","31.1","49.3","19",NA,"7.5",NA,"11.4",NA,"36.6",NA,NA,NA,NA,NA,"27.8",NA,"10.7",NA,"483.6","5.6","1.5",NA,"4","0.11","0.53","0.86","409",NA,"42.9","3.39","143.5","325.7"
"14","Z14","50.041","3.832","12.216","15.036",NA,"0.216","3.957","7.972","2.741","1.506","0.622",NA,NA,"0.51",NA,NA,NA,NA,"556",NA,NA,NA,"0.2482","94.13",NA,"38.45","14.35","0.3732","162.7","8.355","4.004","3.336",NA,"24.94","10.16",NA,"7.795",NA,"1.557",NA,NA,NA,"41.58","6.728","0.4873","1.532","29.76","51.27","22.01",NA,"5.378",NA,"12.05",NA,"35.29",NA,NA,NA,NA,"0.07247","28.7",NA,"10.94","2.54","494.4","1.897","1.496",NA,"3.774","0.12","0.5451","0.7877","395.7","0.4741","41.21","3.42","149.9","313.9"
"15","Z15","50.9","3.87","12.35","15.4",NA,"0.22","3.85","7.94","2.6","1.54","0.66",NA,NA,"0.42",NA,NA,NA,NA,"546","1.5",NA,NA,"0.3","96",NA,"37","18","0.5","163","8.6","4.3","3.4",NA,"23","10.5","1.3","8",NA,"1.6",NA,"0.1",NA,"44","6","0.51","1.5","29","51","17",NA,"6",NA,"12",NA,"35",NA,NA,NA,"370","0.1","27",NA,"11","2.8","469","1.8","1.54",NA,"3.82","0.11","0.58","0.8","407","0.6","38","3.4","141","318"
"16","Z16","50.94","3.88","12.31","15.79",NA,"0.21","3.85","7.84","2.75","1.57","0.67","0.4",NA,"0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
