"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","D01","37.69","3.88","10.09","13.38",NA,"0.208","14.2","12.99","3.38","1.24","0.906",NA,"0.26","1.78",NA,"0.5","5",NA,"804",NA,NA,NA,"0.6","124","100","63","451",NA,"44",NA,NA,NA,"850","21",NA,NA,"5.5","0.3",NA,NA,NA,"68",NA,NA,"2.3",NA,"83","49","316","8","15","21","230",NA,"17",NA,"8","5","1174",NA,NA,NA,"1.3",NA,NA,"2.1","300","25","26",NA,"111","365"
"2","D02","37.86","3.85","10","13.44",NA,"0.2","14.25","12.91","3.43","1.26","0.87",NA,NA,"1.45",NA,NA,NA,NA,"729",NA,NA,"7",NA,NA,NA,"66","459",NA,"59",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91",NA,"338","3",NA,"31",NA,NA,"28",NA,NA,NA,"1183",NA,NA,NA,NA,NA,NA,NA,"295",NA,"28",NA,"120","273"
"3","D03","37.48","3.81","10.34","13.17",NA,"0.2","14.04","13.07","3.43","1.29","0.95",NA,"0.26","1.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D04","35.2662","3.58","9.15","13.005707","7.00993456","0.17","12.57","12.29","3.26","1.19","0.81",NA,NA,"1.55370251585774",NA,NA,NA,NA,"1022",NA,NA,NA,NA,NA,NA,"86","403",NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79",NA,"271","26",NA,NA,NA,NA,NA,NA,NA,NA,"812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115",NA
"5","D05","40.03","3.52","10.09","13","5.43","0.173","11.46","13.46","3.1","1.38","3.58",NA,NA,"2.3",NA,"1.08550533333333",NA,NA,"660.274995666667","1.86619333333333","0.011675",NA,"0.0517723333333333","105.280145333333",NA,"58.0143746666667","393.332668333333","0.802953333333333","58.5498573333333","6.02064733333333","2.41031333333333","3.372348",NA,"19.1758713333333","8.589611","0.975614333333333","6.15369533333333",NA,"1.00921233333333",NA,NA,"52.943688","13.0957966666667","0.197624333333333","0.566693",NA,"75.9413636666667","52.2178436666667","267.643906333333","2.554984","12.920373","29.05829",NA,NA,"18.084194",NA,"10.6540083333333","2.14543233333333","1067.427","6.06523133333333","1.11006766666667","0.007194","6.05648","0.00758433333333333","0.288753666666667","2.00371766666667","257.280122666667","0.316513","23.026778","1.54866066666667","99.043216","233.359341333333"
"6","D06","38.1","3.76","10.09","13.24",NA,"0.196","14.21","13.03","3.35","1.27","0.9",NA,NA,"1.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","D07","37.89","3.82","10","13.26","7.58","0.203","14.06","12.98","3.48","1.25","0.92","1.95","0.25","1.65",NA,NA,"1.8","9","723","2.32",NA,NA,"0.2","123","50","63.9","474","0.55","57.8","6.66","2.44","3.8","970","22","9.91","1.46","6.35","0.0008","1.06",NA,"0.1","62.1","15.2","0.23","0.71",NA,"80.9","59.5","310","3.01","15.2","30.7",NA,"0.11","23.1",NA,"12.1","2.96","1221","5.58","1.32",NA,"7.09",NA,"0.3","2.12","290","0.32","29.7","1.72","143","292"
"8","D08","38.38","3.79","10.02","13.18","6.55","0.211","13.804","12.99","3.296","1.23","0.916",NA,NA,"1.6",NA,NA,NA,NA,"679","2.26",NA,NA,"0.09","120.95",NA,"65","458.05","0.71","60.28","6.87","2.61","4.12",NA,NA,"10.11",NA,"6.71",NA,"1.16",NA,NA,"62.09","16.3","0.23","0.74",NA,"82","60.28","323","3.46","14.68","33",NA,"0.1","24.73",NA,"12.27","2.59","1192","5.15","1.47",NA,"6.79",NA,"0.28","1.86","288",NA,"34","1.75","128","273.9"
"9","D09","37.459","3.838","9.903","13.248",NA,"0.21","14.407","12.856","3.36","1.249","0.909",NA,NA,"1.463",NA,NA,NA,NA,"836.1",NA,NA,NA,NA,"145.2",NA,"62.4","431.1","1.2","55.9",NA,NA,NA,NA,"20.8",NA,"1.9","7.8",NA,NA,NA,NA,"75.8",NA,NA,"1.5",NA,"82.6","58","315.4","1.9",NA,"30.6",NA,NA,"21.9",NA,"7","1.9","1181.9","4",NA,NA,"6",NA,NA,"2.4","282.2",NA,"30.5","1.4","114.8","295.7"
"10","D10","37.74","3.91","10.22","13.28",NA,"0.202","14.1","12.67","3.29","1.23","0.945",NA,NA,"1.81",NA,NA,NA,NA,"744",NA,NA,NA,NA,"118",NA,"59","447",NA,"46",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,"67",NA,NA,NA,NA,"81","51","306",NA,NA,"28",NA,NA,"20",NA,NA,NA,"1104",NA,NA,NA,"10",NA,NA,NA,"278",NA,"28",NA,"123","267"
