"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","C1","73","0.202","13.2","2.79","2.25","0.05","0.114","1.11","3.64","5.12","0.029",NA,"0.21","0.26",NA,NA,NA,"0.001",NA,"557","4.9",NA,NA,NA,"125.7","100","1","9","4.4","3","11.1","5.8","1.7","700","28","12.7","2.9","9",NA,"2.1","0.1","57.8","35.6","0.7","1.6","0.01","84","56.1","7","21",NA,"15",NA,"171.7",NA,NA,NA,NA,"1.4","4",NA,"11.8","22","95.3","112.4","2",NA,"22.8","0.8","0.8","2.7","5","1","53.5","4.5","77","294"
"2","C2",NA,"0.35",NA,"2.46",NA,"0.0502","0.21","0.927","7.8","4.85","0.113",NA,NA,"0.211",NA,NA,NA,NA,NA,"1060",NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","270"
"3","C3","73.62","0.212","12.96","2.74",NA,"0.049","0.12","1.12","3.52","5.08","0.036",NA,NA,"0.27",NA,NA,NA,NA,NA,"508",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.3",NA,"7","22",NA,NA,NA,"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.5",NA,NA,NA,"23",NA,NA,NA,NA,NA,"55.8",NA,"65","259"
"4","C3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5",NA,NA,NA,NA,NA
"5","C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"527",NA,NA,NA,NA,"127",NA,NA,NA,NA,NA,"9.4","5.1","1.59",NA,NA,"9.4",NA,"8.3",NA,"2.01",NA,"61",NA,"0.72",NA,NA,"53","55",NA,"24.3",NA,"15.1",NA,"160",NA,NA,NA,NA,NA,NA,NA,"10.9",NA,NA,"100",NA,NA,"22.3",NA,NA,"3.01","3.63","0.97","56","4.7",NA,"324"
"6","C5","74.27","0.2","13.21","2.85",NA,"0.064",NA,"1.15","3.26","4.91","0.032",NA,NA,"0.26",NA,NA,"2",NA,NA,"540",NA,NA,NA,NA,"138",NA,"2","12",NA,"5",NA,NA,NA,NA,"28",NA,NA,"8",NA,NA,NA,"43",NA,NA,NA,NA,"49","71",NA,NA,NA,"12",NA,"169",NA,NA,NA,NA,NA,NA,NA,"10",NA,"87",NA,NA,NA,"28",NA,NA,"3","12",NA,"49",NA,NA,"275"
"7","C5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.4",NA,NA,NA,NA,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","20",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"23",NA,NA,NA,NA,NA,"1",NA,NA,NA,"17",NA,NA,"58",NA
"8","C6","73.32","0.26","13.14","2.77",NA,"0.043","0.06","1.13","3.68","4.85","0.062","0.35","0.09","0.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","22",NA,NA,NA,"86",NA,NA,NA,NA,"4",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66",NA
"9","C7","71.98","0.2057","12.99","2.791",NA,"0.0497","0.123","1.14","3.62","5.007","0.0073",NA,NA,NA,NA,NA,NA,NA,NA,"531.3",NA,NA,NA,NA,"122.4",NA,"1.84","4.65","3.44",NA,"8.54","4.75","1.77",NA,"25.18","11.74",NA,"9.15",NA,"2.02",NA,"60.72",NA,"0.67",NA,NA,"45.51","53.97","17.35",NA,NA,"13.9",NA,"157.21",NA,NA,NA,NA,NA,"3.84",NA,"10.77","19.45","88.99","96.95","1.88",NA,"20.38",NA,NA,"2.88",NA,NA,"54.8","4.54",NA,"285"
"10","C8","73.37","0.2","13.04","2.77","2.16","0.046","0.11","1.11","3.64","5.12","0.03",NA,NA,"0.28",NA,NA,NA,NA,NA,"530",NA,NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,"68",NA,NA,NA,NA,"49","55",NA,"30",NA,NA,NA,"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,"88",NA,NA,NA,"21",NA,NA,NA,NA,NA,"56",NA,"70","289"
"11","C9","73.32","0.211","13.11","2.84",NA,NA,NA,"1.17","3.24","5.19",NA,NA,NA,"0.25",NA,NA,NA,NA,NA,"484.7",NA,NA,NA,NA,"125.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.1",NA,NA,NA,NA,NA,NA,"54",NA,NA,NA,NA,"48.5",NA,NA,"26.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.1",NA,"63","248.3"
"12","C9.1",NA,NA,NA,NA,NA,"0.051","0.16",NA,NA,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","C10","73.32","0.19","13.15","2.7",NA,"0.052","0.13","1.08","3.57","5.05","0.023",NA,NA,"0.25",NA,NA,NA,NA,NA,"511",NA,NA,NA,NA,"116",NA,"3","4",NA,"6",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,"49",NA,"6","28",NA,NA,NA,"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA,NA,NA,NA,"6",NA,"54",NA,"61","281"
"14","C11","73.59","0.2","13.08","2.74","2.17","0.05","0.14","1.07","3.6","4.99","0.03",NA,NA,"0.29",NA,NA,"0.4",NA,NA,"534","4.6","0.31",NA,NA,"132",NA,NA,"7","4",NA,"9.66","5.32","1.64",NA,"25","10.8","1.8",NA,NA,"1.88",NA,"62.9","29.5","0.64","1.6",NA,"52.7","55.4","5","22.5",NA,"15.2",NA,"157",NA,NA,NA,"60","1.5","5",NA,"11.4","14.5","86","93","1.82",NA,"22.7",NA,NA,"2.89","5",NA,"57.3","4.57","68","266"
"15","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"501",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.3",NA,NA,NA,NA,"24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,"6.6","24.4",NA,NA,NA,"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.1",NA,NA,NA,"23.3",NA,NA,NA,NA,NA,"54.6",NA,"65","265"
"16","C13","64.3","0.18","12.5","1.95",NA,NA,NA,NA,"1.76","3.6","0.04",NA,NA,"0.27",NA,"0.65",NA,NA,NA,"628",NA,NA,NA,NA,"198",NA,"1.67","9.66","4.49","6.37","18.1","9.96","3.11",NA,"23.94","24",NA,NA,NA,NA,NA,"93.51",NA,"1.76","2.38",NA,"59.01","100","5.75","26.3",NA,NA,NA,"129.38","0.203",NA,NA,NA,"1.9","96.57",NA,"18.23","12.13","86.9","168.5",NA,NA,"35.04","2.17",NA,"4.75",NA,NA,NA,"6.31",NA,"119.4"
"17","C14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"578",NA,NA,NA,NA,"135",NA,"1.88",NA,"3.88",NA,"10.3","5.6","1.53",NA,"24.3","11.2",NA,"7.49",NA,"2.09",NA,"63.1",NA,"0.68",NA,NA,"42.6","54.8",NA,NA,NA,"15.6",NA,"152",NA,NA,NA,NA,NA,NA,NA,"10.8",NA,"92.1","86.4","1.75",NA,"21.8",NA,"0.71","3.08",NA,NA,"50.1","4.84",NA,"261"
"18","C15","73.875","0.199","13.064","2.811",NA,"0.049","0.127","1.095","3.702","5.122","0.032",NA,NA,"0.139",NA,NA,NA,NA,NA,"524.7",NA,NA,NA,NA,"125.7",NA,NA,"7.8",NA,NA,NA,NA,NA,NA,"18.7",NA,NA,NA,NA,NA,NA,"62.4",NA,NA,NA,NA,"47.9",NA,"6","23.2",NA,NA,NA,"153.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.7",NA,NA,NA,"22.7",NA,NA,NA,"6.9",NA,"56",NA,"63.4","254.9"
"19","C16","73.4","0.21","12.9","2.84",NA,"0.05","0.24","1.15","3.64","5.69","0.062",NA,NA,"0.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","C17","74.59","0.2394","13.48","2.832",NA,"0.0495","0.1362","1.087","3.64","5.151","0.0265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","C18","73.77","0.23","12.94","2.61","2.77","0.05","0.14","1.07","3.58","5.15","0.04",NA,NA,"0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","C18.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,"76",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,"62",NA
"23","C19","73.46","0.31","12.96","2.78",NA,"0.08","0.04","1.09","3.74","5.12","0.04",NA,NA,"0.3",NA,NA,NA,NA,NA,"386",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"50",NA,NA,"21",NA,NA,NA,"153",NA,NA,NA,NA,NA,"7",NA,NA,"22","91","112",NA,NA,NA,NA,NA,NA,NA,NA,"52",NA,"80","257"
"24","C20","72.67","0.22","13.3","2.84","2.1","0.05","0.15","1.11","3.63","5.18","0.05",NA,NA,"0.24",NA,NA,NA,NA,NA,"546",NA,NA,NA,NA,"127.6",NA,"3","12",NA,"5","10.65",NA,"1.65",NA,"25","11.22",NA,NA,NA,"2.5",NA,"63.03",NA,"1",NA,NA,"44","58.23","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"11.13",NA,"86",NA,NA,NA,"25",NA,NA,NA,NA,NA,"56","6.15","67","295"
