"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","C(tot)","C(org)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","G01","52.31","1.65","14.38","11.01",NA,"0.1349","7.52","8.18","2.95","0.83","0.29","0.16",NA,"-0.02",NA,NA,NA,NA,NA,"232",NA,NA,NA,NA,NA,NA,"31",NA,"47","239",NA,"32",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"18",NA,"166","6",NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,"368",NA,NA,NA,"8",NA,NA,NA,"171",NA,"22",NA,"103","140"
"2","G02","51.9","1.77","14.25","11.4",NA,"0.147","7.55","8.41","3.16","0.84","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","G03","51.4976","1.775025","13.618","11.041602","8.19","0.13","7.728","7.95","2.94","0.79","0.377142857142857",NA,NA,"-0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","G04","52.24","1.76","14.12","11.55",NA,"0.143","7.42","8.51","3.141","0.772","0.282",NA,NA,"0.05",NA,NA,"1.54",NA,NA,NA,"1.14",NA,NA,NA,NA,NA,"30.4",NA,"47.5",NA,NA,NA,"4.1","2.08","1.6",NA,NA,"4.83",NA,NA,NA,"0.8",NA,NA,"14.6","6","0.24",NA,NA,"17.3",NA,NA,NA,"3.99",NA,NA,NA,NA,NA,"5.21","4.6",NA,NA,NA,"0.72",NA,"2.81",NA,"0.28","0.74",NA,NA,NA,"1.68",NA,NA
"5","G04.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"245",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,"211",NA,"59",NA,NA,NA,NA,"21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6","18.8",NA,"141.5","1",NA,NA,NA,"22.2",NA,NA,"16.8",NA,NA,NA,"347.5",NA,NA,NA,NA,NA,NA,NA,"143",NA,"19.4",NA,"103","129"
"6","G05","51.99","1.768","14.27","11.72","10.55","0.15","7.513","8.417","2.797","0.857","0.331",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"483.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","G06","52.02","1.78","14.56","11.49",NA,"0.146","7.51","8.56","2.91","0.821","0.263",NA,NA,"-0.08",NA,NA,NA,NA,NA,"211",NA,NA,NA,NA,NA,NA,"31.29",NA,"47","235",NA,"48","4.12","1.99","1.53",NA,NA,"4.86",NA,NA,NA,"0.78",NA,NA,"15.32",NA,"0.23",NA,NA,"16.65","154","4",NA,"4.04",NA,"23",NA,NA,NA,NA,"4.48",NA,"366",NA,"0.7",NA,"2",NA,"0.26",NA,"173",NA,"22","1.76","114","158"
"8","G07","51.53","1.72","14.38","11.35","8.42","0.144","7.69","8.33","3.17","0.8","0.31","0.47",NA,"-0.27",NA,NA,NA,NA,"5","197","1.06",NA,NA,"55",NA,NA,"28","125","42.8","250","0.79","54.4","3.75","1.74","1.5","291","19.1","4.26","1.28","3.01","0.001","0.685",NA,NA,"14.1","8.2","0.22","1.6","15.6","16","148","2.99",NA,"3.41",NA,"20.8","265",NA,"21.93","0.04","4.1","1.49","345","3.13","0.658",NA,"2.3",NA,"0.24","0.63","144","0.5","19.3","1.52","114","120"
"9","G08",NA,"1.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224",NA,NA,NA,NA,NA,NA,"33.1",NA,"47.73","249","0.863","56.81","4.294","2.389","1.792",NA,NA,"4.68",NA,"3.379",NA,"0.807",NA,NA,"15.99",NA,"0.265",NA,"18.98","18.13","164.6","3.363",NA,"4.176",NA,"23.25",NA,NA,"20.68",NA,"4.548","1.616","378","3.55","0.949",NA,"2.602",NA,"0.281","0.722","170.2","0.586","20.29","1.85","112.5","132.3"
"10","G09","52.21","1.75","14.38","11.44",NA,"0.145","7.73","8.52","3.01","0.86","0.3",NA,NA,"-0.22",NA,NA,"8",NA,NA,"291",NA,NA,NA,NA,NA,NA,NA,NA,"43","263",NA,"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.7",NA,"146","4",NA,NA,NA,"22.5",NA,NA,"19",NA,NA,NA,"356",NA,NA,NA,NA,NA,NA,NA,"139",NA,"20",NA,"104","140"
