"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","NA","Ag","As","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","K1","58.45","0.8191","17.349","7.548",NA,"0.1142","3.397","6.712","3.002","1.614","0.1333",NA,NA,"0.68",NA,NA,NA,NA,"751.1","1.01","0.1",NA,NA,NA,"0.17","29.56",NA,"18.91","20.56","2.96","20.34","4.35","2.75","1.01",NA,"20.79","4.1",NA,"3.49",NA,"0.97",NA,NA,"13.2","24.77","0.4","0.76","4.66","17.51","5.41","14.01",NA,"4.08","69.1",NA,"1.33","18.02",NA,"4.35","2.32","307.4","0.49","0.7",NA,"4.24",NA,"0.4","3.43","146.6","0.29","25.6","2.55","94.9","120.9"
"2","K2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"731","0.92","0.08",NA,NA,NA,NA,"28.8",NA,"19.3","13.6","2.79","19.9","4.36","2.62","1.05",NA,"19.6","4.36",NA,"3.32",NA,"0.9",NA,NA,"12.7","21.9","0.38","0.82","5.19","16.9","6.51","14",NA,"3.92","59.9",NA,NA,"22.3",NA,"4.18","2.46","307","0.41","0.73",NA,"3.84","0.45","0.39","1.22","148",NA,"25.9","2.53","91.2","116.8"
"3","K3","58.573","0.846","17.384","7.668",NA,"0.121","3.272","6.757","2.928","1.658","0.134",NA,NA,"0.66",NA,NA,NA,NA,"826",NA,NA,NA,NA,NA,NA,NA,NA,"22.9","33.4",NA,"24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.9",NA,"2.8","15.9",NA,NA,"64",NA,NA,NA,NA,NA,NA,"312.1",NA,NA,NA,"4.3",NA,NA,NA,"160.3",NA,"26.1",NA,"94.5","130.4"
"4","K4","58.52","0.81","17.92","7.66",NA,"0.118","3.35","6.88","2.99","1.65","0.126",NA,NA,"0.84",NA,NA,NA,NA,"804.2","0.97",NA,NA,NA,NA,NA,"29.16",NA,"19.4","14.26","3.35","18.89","4.48","2.65","1.02",NA,"18.98","4.42",NA,"0.75",NA,"0.93",NA,NA,"12.47","26.02","0.36",NA,"5.66","17.34","5.77","13.38",NA,"3.98","61.5",NA,NA,"23",NA,"4.29",NA,"310.5","0.43","0.73",NA,NA,NA,NA,NA,"150.4",NA,"29.75","2.48","91","13.7"
"5","K4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.89",NA,NA,"1.23",NA,NA,NA,NA,NA,NA
"6","K5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.14","28.8",NA,NA,NA,"2.84",NA,"4.42","2.6","1.01",NA,"18.6","4.23","1.33",NA,NA,"0.9",NA,NA,"13.1",NA,"0.37",NA,"4.63","16.9",NA,NA,NA,"3.94","58.5",NA,"1.36","17.4",NA,"4.09","3.28",NA,"0.4","0.71",NA,"3.76","0.39","0.38","1.43",NA,"0.31","24.6","2.47",NA,NA
"7","K6","58.71","0.905","16.3","8.83","2.4","0.111","3.36","6.71","2.84","1.65","0.127",NA,NA,"0.8",NA,"0.191","2.692",NA,"661.224","0.641","0.044",NA,NA,NA,"0.12","23.653",NA,"16.371","11.488","2.49","20.267","3.38","2.039","0.832",NA,"17.105","3.539","1.109","0.557",NA,"0.69",NA,NA,"10.1","19.34","0.276","0.604","4.745","13.505","5.829","12.031",NA,"3.144","61.879",NA,"1.224","17.521","0.458","3.334","2.018","259","1.145","0.525","0.005","3.474","0.262","0.292","1.13","123.81","0.233","17.918","1.877","96.486","11.525"
"8","K7","59.02","0.795","17.13","7.25",NA,"0.111","3.16","6.636","3.03","1.544","0.122",NA,NA,"0.67",NA,NA,NA,NA,"736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"313",NA,NA,NA,NA,NA,NA,NA,"157",NA,NA,NA,NA,NA
"9","K8","55.69","0.7876","16.57","7.152",NA,"0.117","3.179","6.36","2.72","1.552","0.124",NA,NA,"0.74",NA,NA,"3.33",NA,"645",NA,NA,NA,NA,NA,"0.141","27.07",NA,"18.58","18.4","2.77","15.35","4.192","2.472","1.034",NA,"18.65","3.906",NA,"3.469",NA,"0.86",NA,NA,"12.41","22.1","0.356",NA,"3.615","16.96",NA,"13.32",NA,"3.802","57.89",NA,"2.403","21.9",NA,"4.107",NA,"295","0.393","0.673",NA,"3.487","0.307","0.36","1.357","154.4",NA,"23.45","2.343","84.28","122.3"
"10","K9",NA,"0.828","16.77","7.702",NA,"0.113","3.378","6.551","3.142","1.621","0.106",NA,NA,NA,NA,"0.116","1.959",NA,"722.8","0.92","0.083",NA,NA,NA,"0.098","28.46",NA,"19.95","13.3","2.424","19.23","4.413","2.65","1.005",NA,"16.77","4.527",NA,"3.39","0.0047","0.898",NA,NA,"12.93","24.1","0.354","0.64","4.87","17.75","6.1","15.11",NA,"3.841","57.5",NA,"1.692",NA,NA,"3.901","2.67","294","0.32","0.666",NA,"4.56","0.202","0.373","1.639","147.8","0.293","23.39","2.613","90.5","109.6"
