"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","N","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","M2","45.72","1.36","19.94","13.4","*","0.15","4.59","12.36","1.84","0.18","0.037","*","*","0.41","*","*","*","*","*","*","*","*","*","360","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2","M3","46.397","1.384","19.829","12.097","*","0.156","4.497","12.707","1.841","0.176","0.045","*","*","0.199","*","*","*","*","79.82","*","*","*","*","*","*","5.219","*","36","53","0.8598","101","1.868","1.11","0.5674","*","20","1.669","*","0.7116","*","0.3785","*","2.066","*","0.1477","*","*","0.8211","3.97","11","10.23","*","0.7776","5.247","*","*","*","*","*","1.276","*","391","0.07371","0.2759","*","0.5684","*","0.1553","0.1856","581","*","9.414","1.013","87","17.56"
"3","M4","45.41","1.39","19.88","13.03","*","0.16","4.56","11.84","1.94","0.16","0.03","*","*","0.4","*","4","*","*","80","*","*","*","*","*","*","3","*","37","7","*","84","*","*","*","*","20","*","*","2","*","*","*","46","*","*","*","*","*","2","11","22","*","*","7","*","*","4","35","*","6","*","391","*","*","*","2","*","*","3","603","32","10","*","89","24"
"4","M5","45.96","1.5","19.55","13.04","*","0.16","4.53","12.31","1.87","0.17","0.02","*","*","*","1.5","2.4","*","*","93.6","*","*","0.4","*","*","*","13.8","*","34.9","7.9","*","88.9","*","*","*","*","19.6","*","2.4","3.3","*","*","*","5.1","*","*","0.3","*","0.6","5.4","11.2","149.7","*","*","3.2","*","*","1.9","38.3","0.3","*","*","366.7","2","*","*","*","0.9","*","0.8","577.4","2.5","9","*","81.6","26.2"
"5","M5.1","*","*","*","*","*","*","*","*","*","*","*","*","*","0.74","*","*","*","*","*","*","*","*","*","*","*","*","103.1","*","*","*","*","*","*","*","195","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1351","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"6","M6","45.95","1.39","20.1","13.22","*","0.16","4.5","12.64","1.9","0.11","0.04","*","*","0.32","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"7","M7","46.09","1.4","19.91","13.21","*","0.151","4.5","12.48","1.82","0.17","0.044","*","*","0.25","*","5.8","*","*","98","*","*","*","*","*","*","12","*","35","6.9","*","92","*","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","*","9.7","12","*","*","5.5","*","*","*","46","2.4","*","*","379","*","*","*","3.8","*","*","*","600","*","*","*","88","25"
"8","M7.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","9.3","*","*","*"
"9","M8","45.54","1.339","19.69","12.87","*","0.16","4.36","12.41","1.87","0.165","0.04","*","*","0.43","*","*","*","*","83.51","0.245","*","*","*","*","*","4.94","*","39.7","6.52","0.951","89.49","1.84","1.11","0.57","*","20.65","1.6","*","0.64","*","0.39","*","2.25","7.81","0.145","*","*","1.04","4.11","12.3","8.89","*","0.82","5","*","*","*","37.6","*","1.28","*","410.5","0.07","0.286","*","0.52","*","*","0.17","611","*","9.63","0.99","85.8","17.5"
"10","M9","46.101","1.392","20.232","13.361","*","0.159","4.623","12.625","1.858","0.17","0.03","*","*","0.437","*","*","*","*","88","*","*","*","*","*","*","6.7","*","35.8","7.9","1.4","88.9","*","*","*","*","19.9","*","*","1","*","*","0.7","2.3","*","*","*","*","*","6.5","8","11","*","*","5.2","*","*","1.8","36.9","*","*","1.9","387.2","*","*","*","*","*","*","*","561.2","*","9.4","*","86.6","26"
