"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","P2","75.6","0.29","12.5","2.85","*","*","0.48","1.15","4.59","2.11","*","*","*","0.9","*","*","*","*","394","1.38","*","*","*","*","*","63.7","*","2.9","62","0.57","11.8","11.9","7.42","1.33","*","17.4","10.45","*","8.1","*","2.54","*","0.06","27.8","6.6","1.22","4.84","11.6","36","6.5","5.2","*","8.28","51.6","*","*","*","7.1","*","9.34","3.4","70.8","1","1.83","*","4.92","*","1.22","1.35","*","*","69.7","8.21","52","257"
"2","P3","74.98","0.296","12.5","2.71","*","0.059","0.55","1.15","4.56","2.15","0.052","*","*","0.73","*","*","*","*","377","*","*","*","*","*","*","63.01","*","*","74","0.55","11","12.93","7.98","1.45","*","16","10.49","*","7.48","*","2.72","*","*","27.56","*","1.25","*","10.13","35.07","10","5.47","*","8.35","52.1","*","*","*","7.5","*","9.31","*","75","0.97","1.92","*","5.15","*","1.22","1.31","14","*","74.41","7.82","53","250"
"3","P4","74.8","0.302","12.54","3.01","*","0.059","0.463","1.18","4.49","2.14","0.056","*","*","0.809","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"4","P5","74.75","0.2962","12.63","2.924","*","0.0646","0.4004","1.111","4.772","2.163","0.0575","*","*","0.78","*","*","*","*","381.1","*","*","*","*","*","*","71.4","33.3","20.5","65.9","*","10.3","*","*","*","*","18.6","*","*","*","*","*","*","*","36.8","*","*","*","11.1","50.1","*","6.9","*","*","54.5","*","110.4","17.7","*","*","15.4","*","70.9","*","*","*","6.75","*","*","*","13.1","*","74.9","*","55.3","248.3"
"5","P6","74.929","0.307","12.65","2.967","*","0.061","0.472","1.197","4.526","2.125","*","*","*","0.75","*","*","*","*","388.3","1.4","*","*","*","*","*","61.12","*","3","84.1","0.52","11.7","11.95","7.92","1.34","*","16.25","9.51","*","7.46","*","2.57","*","*","26.16","*","1.23","4.39","9.68","34.49","9.4","4.8","*","8.03","49.79","*","*","*","7.2","*","8.86","3.49","73.7","0.94","1.81","*","4.67","*","1.2","1.28","9.9","*","64.71","8.2","52.9","221.7"
"6","P7","75.04","0.308","12.72","2.89","*","0.053","0.462","1.15","4.48","2.17","0.057","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"7","P8","75.97","0.262","11.4","3.09","*","0.058","0.45","1.14","4.93","2.11","0.045","*","*","0.8","*","*","*","*","380","1.4","0.09","*","*","*","0.09","65","*","2.99","63","0.61","12.1","12.1","8.1","1.37","457","16.6","10.3","*","*","*","2.6","*","*","28","6.2","1.3","4.6","11.6","36","5.8","5.2","*","8.5","48.7","*","192","0.27","7.5","*","9.3","3.5","69.8","0.97","1.81","*","5.2","0.19","1.23","1.27","11.4","0.88","*","8.3","51.8","273"
"8","P9","*","0.172","1.512","2.606","2.345","0.051","0.341","0.448","0.078","0.13","0.049","*","*","*","0.22","0.47","*","1.12","16.64","0.51","0.05","*","*","*","0.12","25","*","*","34","*","9.94","4.69","2.74","0.53","*","*","4.88","0.11","*","*","0.95","*","*","10","5.08","0.33","2.6","0.46","*","3.2","3.19","*","3.42","6","*","*","*","*","*","4.1","1.04","8","*","0.79","*","1.87","0.02","*","0.46","5","0.31","*","2.37","47.06","39.66"
"9","P10","75.19","0.3","12.57","2.89","*","0.06","0.46","1.14","4.63","2.17","0.05","*","*","0.66","*","*","*","*","352","*","*","*","*","*","*","*","*","*","64","*","10","*","*","*","*","14","*","*","*","*","*","*","*","22","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","63","*","*","*","*","*","*","*","10","*","*","*","50","*"
"10","P11","74.99","0.292","12.75","2.91","*","0.056","0.48","1.15","4.69","2.19","0.057","*","*","0.63","*","*","*","*","357","*","*","*","*","*","*","53","*","*","57","*","*","*","*","*","*","15","*","*","*","*","*","*","*","19","*","*","*","11","32","*","7","*","*","53","*","*","*","*","*","*","*","72","*","*","*","*","*","*","*","10","*","74","9","49","262"
