"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","T2","43.41","0.01","0.37","9.04","7.26","0.126","45.65","0.48","*","*","*","*","*","0.43","*","*","*","*","*","*","*","*","*","*","*","*","*","114","2978","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2532","*","230","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","35","*","*","*","72","*"
"2","T3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.238","*","*","*","*","*","*","0.519","*","114.07","1343.2","0.003","7.94","0.004","0.237","*","*","0.468","0.005","*","0.011","*","*","*","*","*","0.034","*","0.002","*","*","*","0.192","2622.6","*","241.84","*","2.79","*","0.027","*","*","*","*","*","10.09","*","*","*","0.403","*","0.001","*","0.001","*","*","*","22.49","*","0.045","0.014","51.01","0.608"
"3","T4","42.86","0.01","0.36","8.67","*","0.12","47.56","0.43","0.01","0.01","*","*","*","0.35","*","*","*","*","1.08","*","*","*","*","*","0.02","0.48","*","120","2880","0.0065","6.05","0.0051","0.22","0.0011","*","0.51","0.17","*","0.017","*","0.0011","*","*","*","0.042","2.01","0.0029","*","*","0.026","0.26","2392","*","244","*","2.3","*","0.071","*","*","*","*","*","10.2","*","0.0035","*","0.31","0.12","0.0009","*","0.011","*","0.0014","0.0027","36.5","*","0.036","0.014","65.1","0.78"
"4","T8","44.29","0.003","0.589","8.99","*","0.131","45.03","0.465","0.062","0.018","*","*","*","0.346","*","*","*","*","13.57","*","9.17","*","*","*","*","0.51","*","88.32","494.08","*","7.2","*","0.27","*","*","0.39","0.23","*","0.46","*","*","*","*","*","0.044","7.76","*","*","*","*","0.199","1669","*","174.4","*","3.19","*","*","*","*","*","*","17.46","10.61","*","*","*","4.07","0.01","*","*","*","*","*","*","15.53","*","0.92","*","34.93","36.42"
"5","T9","42.67","*","0.383","8.93","*","0.127","45.64","0.48","0.13","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"6","T10","*","*","*","9.04","*","0.13","45.01","0.475","*","*","*","*","*","*","*","0.348","*","*","*","*","*","0.22","*","*","*","*","*","121.5","3090","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2546","*","*","*","*","*","*","*","*","*","*","1.4","9.08","*","*","*","*","*","*","*","*","*","*","*","36.31","7.12","*","*","82.2","*"
"7","T10.1","*","*","0.425","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2.49","56.7","*","*","*","*","*","*","0.028","*","*","*","*","*","*","*","*","*","*","0.033","*","*","*","*","*","*","*","*","*","*","*","*","5.6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"8","T11","41.42","0.038","0.29","8.09","*","0.11","45.78","0.25","0.86","1.2","0.02","*","*","0.4","*","*","*","14","2","*","*","*","*","*","*","0.8","*","74","385.1","*","10","0.028","0.287","0.01","*","*","0.4","*","*","*","0.006","*","*","*","*","3","0.005","19.9","*","3","0.345","2645","*","133.4","*","2.71","*","*","*","*","*","*","2.5","9.511","*","0.031","*","*","0.189","0.06","*","0.19","*","0.005","*","*","*","0.184","0.027","67","*"
"9","T14","40.32","0.0182","0.4553","10.23","*","0.1388","51.15","1.02","0.0382","*","*","*","0.12","0.5","0.0169","0.2242","0.005253","*","1.0468","*","*","*","*","321.02","0.1002","0.6138","*","133.3237","3715.22","0.1028","16.07","*","0.2928","0.0107","*","0.6105","0.0052","3.8082","0.0207","*","0.0115","*","0.0267","0.003014","0.073","*","0.0069","0.3505","*","0.0191","0.248","2908.27","0.003137","194.656","0.006085","2.7757","0.008175","0.2862","0.0076","0.001474","0.008039","179","2.542","17.5865","*","0.0021","0.8966","0.4865","0.0073","0.0014","*","0.0083","*","0.0028","0.0073","45.6796","8.8851","0.037","0.0193","66.5069","0.9133"
"10","T15","42.07","*","0.38","9.01","*","0.125","47.34","0.47","0.14","0.02","0.007","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.7","*","81","2068","*","*","*","0.3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2459","*","224","*","2.8","*","*","*","*","*","*","*","10.6","*","*","*","*","*","*","*","*","*","*","*","22","*","*","*","66","*"
