"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","U1","55.5","0.82","12.9","7.8","*","0.1","3.38","3.14","1.73","10.4","0.72","*","*","2.38","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2","U2","54.82","0.82","13.1","8","*","0.102","3.34","3.18","1.88","10.42","0.726","*","*","*","*","18","*","*","4503","*","*","1","*","*","*","559.9","*","17","265","*","80","13.41","4.51","10.33","*","20","31.3","*","11","*","1.88","*","*","*","250.1","*","0.37","35","*","23","248","163","*","243","*","64","*","624","*","*","*","*","*","17.6","*","45.05","*","720","*","3.25","*","133.94","*","0.46","9","157","*","50","2.47","115","786"
"3","U3","56.05","0.8","12.99","7.84","*","0.104","3.31","3.32","1.74","10.7","0.753","*","*","2.33","*","16","*","*","346","*","*","*","*","*","*","225","*","1.9","30","18","3","*","*","*","*","20","*","*","16","*","*","*","*","*","137","*","*","3.9","*","33","69","*","*","85","*","*","*","171","*","*","*","*","*","*","*","11","*","1515","*","*","*","58","*","*","2.7","19","4.5","24","*","66","510"
"4","U4","55.74","0.79","13.01","7.75","*","0.1","3.32","3.14","1.66","10.52","0.66","*","*","2.38","*","*","*","*","5311","22.2","0.84","*","*","*","*","513","*","20.9","330","10.6","119","12.4","4.07","8.95","*","25.2","26.7","*","23.4","*","1.82","*","*","*","236","29.8","0.43","36.8","*","30.2","229","255","*","259","*","58.4","*","665","*","*","*","*","*","16","*","41.9","8.68","800","1.45","2.97","*","143","4.2","0.5","14.1","160","*","52","2.92","109","984"
"5","U6","55.83","0.86","13.22","7.62","*","0.109","3.44","3.15","1.63","10.25","0.696","*","*","1.83","*","*","*","*","5143","22.6","0.673","*","*","*","*","467","*","27.7","260","10.83","105","11.92","6.38","15","*","21.5","40","*","20","*","1.8","*","0.113","*","219","30.5","0.565","30","*","25","226","162","*","232","*","56.5","*","627","*","*","*","*","*","16.9","*","40","*","710","*","4.41","*","120","3.5","0.537","10.7","163","*","48","3.55","109","858"
"6","U7","57.05","0.79","12.54","7.23","*","0.09","4.05","3.27","1.55","10.35","0.75","*","*","*","*","*","*","*","3928","21.71","*","*","*","*","*","480.02","*","10","221","*","93","11.85","4.76","11.85","*","21","27.82","1.37","22.62","0.015","1.94","*","*","*","237.51","*","0.47","32.13","*","25","222.59","137","*","245","*","54.3","*","636","*","*","*","*","*","14","*","39.08","7.5","753","1.36","3.37","*","105","*","0.54","12.48","186","3.66","50","3.33","121","770"
"7","U9","56.11","0.79","13.03","7.91","*","0.11","3.18","3.15","1.58","10.47","0.7","*","*","2.49","*","*","*","*","5186","*","*","*","*","*","*","*","*","14","273","*","109","*","*","*","*","20","*","*","23","*","*","*","*","*","*","32.7","*","*","*","24","*","158","*","244","*","*","*","629","*","*","*","*","*","16","*","*","15","762","*","*","*","116","*","*","14","165","*","48","*","112","907"
"8","U10","57.979","0.846","13.565","8.297","*","0.108","3.41","3.38","1.874","11.03","0.77","*","*","2.27","*","*","*","*","5616","22.3","*","*","*","*","*","481.76","*","20.58","306.62","10.8","124.9","11.97","4.27","8.96","*","25.55","26.66","*","23.78","*","1.82","*","*","*","215.43","*","0.44","35.32","*","24.39","224.19","230","*","250.79","*","57.28","*","637.21","*","*","*","1064.9","*","15.4","*","40.36","8.54","854.6","1.38","2.97","*","124.75","2.97","0.49","13.67","163.2","*","45.97","3.08","116.3","971.97"
"9","U11","55.077","0.7591","13.203","8.027","*","0.0891","3.321","3.161","1.719","10.487","0.7107","*","*","3.17","*","*","*","*","5313.81","19.27","0.85","*","*","*","*","519.86","*","20.08","286.3","10.73","110.2","13.2","4.87","9.98","*","21.4","24.4","*","26.42","*","1.93","*","*","*","241.11","28.45","0.46","32.75","*","23.84","239.18","106.4","*","273.76","*","58.63","*","641.5","*","*","*","*","0.2","*","*","41.83","9.18","776.2","1.34","3.43","*","101","*","0.51","15.09","144.25","5.03","51.94","3.25","122.5","1002.55"
"10","U13","55.8","0.79","13.1","7.87","3.27","0.101","3.28","3.2","*","10.9","0.8","*","*","2.1","*","*","*","36","*","21.9","*","*","*","0.55","*","457","*","21","*","*","114","*","*","*","*","*","*","*","39.3","*","*","*","*","*","217","30.6","*","*","*","*","*","*","*","248","*","*","*","637","*","*","*","*","*","16.5","*","*","*","760","*","*","*","*","*","*","*","149","*","48","*","108","1059"
