Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,Ag,As,Au,B,Ba,Be,Bi,Br,C(org),C(tot),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,N,Nb,Nd,Ni,Os,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
K2,57.51,1.07,19.34,4.51,NA,0.15,1.07,3.58,NA,3.81,NA,NA,NA,NA,NA,8,NA,NA,NA,3.94,NA,NA,NA,NA,NA,NA,NA,4.79,133,2.56,8.09,4.98,2.54,2.97,NA,24.18,7.53,NA,NA,NA,NA,NA,NA,NA,42.46,14.71,0.44,NA,NA,98,36.21,5.15,NA,NA,NA,11.07,NA,65,NA,NA,NA,NA,NA,4.7,NA,7.31,NA,965,NA,0.98,NA,7.82,NA,0.38,3.95,33.57,NA,20.81,2.43,73,496
K4,58.34,1.08,18.98,4.15,NA,0.11,0.83,3.47,7.1,3.72,0.61,NA,NA,0.41,NA,NA,NA,NA,1355,NA,NA,NA,NA,NA,NA,NA,NA,5,121,NA,5,NA,NA,NA,876,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,107,NA,7,NA,7,NA,NA,NA,62,NA,NA,NA,233,NA,8,NA,NA,2,1059,NA,NA,NA,15,NA,NA,9,29,7,27,NA,60,473
K5,57.87,1.11,19.49,4.75,2.95,0.135,1.14,3.74,6.72,3.74,0.57,NA,NA,NA,NA,NA,NA,NA,1448,3.6,NA,NA,NA,NA,0.57,178,NA,6,119,NA,NA,7.61,4.11,5.55,NA,24.6,11.9,NA,NA,NA,1.22,NA,NA,NA,115,17.9,0.49,NA,NA,114,75,NA,NA,NA,NA,22.1,NA,67,NA,NA,NA,NA,NA,NA,NA,12.4,NA,1092,NA,1.53,NA,NA,NA,0.48,NA,27.9,NA,30.2,3.33,62.7,484
K6,57.85,1.08,19.68,4.76,NA,0.14,1.12,3.75,6.84,3.87,0.6,NA,NA,0.12,1.5,NA,NA,NA,1286,NA,NA,NA,NA,NA,NA,179,NA,5,122,2,7,NA,NA,NA,NA,23,NA,2,10,NA,NA,1.5,NA,NA,101,NA,NA,3,NA,97,66,2,NA,7,NA,NA,NA,67,NA,NA,NA,NA,NA,7,NA,9,1.4,1088,5,NA,NA,14,NA,NA,4,27,4,28,2,63,486
K8,57.87,1.11,19.67,4.78,NA,0.21,1.15,3.72,6.79,3.84,0.623,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,57.65,1.068,19.49,4.695,3.7,0.144,1.134,3.764,6.761,3.765,0.596,0.6,0.14,0.62,0.835,NA,NA,NA,1328,3.338,NA,NA,NA,452,NA,171.3,NA,5.37,122,0.7,8.875,4.845,2.62,4.045,NA,24.79,6.52,1.36,9.92,NA,0.895,NA,NA,NA,86.2,17.55,0.46,4.945,NA,112.46,61.95,3.2,NA,6.67,NA,18.055,NA,71.1,NA,NA,NA,NA,NA,6,NA,9.09,2.75,1126,5.9,0.91,NA,9.995,NA,0.38,2.975,23.25,2.77,29.2,2.475,88,392
K11,NA,1.082,17.38,4.446,NA,0.135,1.098,4.035,6.609,3.77,0.618,NA,NA,NA,0.0687,0.8415,NA,NA,1237,3.519,0.0015,NA,NA,NA,0.0316,188.2,NA,5.371,126.7,0.6222,6.146,5.576,3.206,4.512,NA,20.98,7.346,NA,8.747,NA,1.04,NA,NA,NA,103,17.27,0.4003,5.667,NA,106.5,69.16,2.746,NA,5.862,NA,19.49,NA,66.28,NA,NA,NA,152,0.2181,NA,0.0371,10.42,2.147,1041,6.027,1.001,NA,11.67,0.0185,0.4669,3.23,26.8,2.655,28.8,2.766,85.16,316
K13,58.33,1.07,19.89,4.71,NA,0.13,1.13,3.67,6.72,3.71,0.56,NA,NA,0.3,NA,NA,NA,NA,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
K14,57.81,1.084,19.58,4.702,NA,0.137,1.1,3.728,6.845,3.829,0.61,NA,NA,0.238,NA,NA,NA,NA,1331,NA,NA,NA,NA,NA,NA,NA,250,NA,112.8,NA,NA,NA,NA,NA,310,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.6,NA,NA,NA,NA,NA,NA,NA,67.5,NA,NA,NA,150,NA,NA,NA,NA,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,61.9,475.4
K15,57.26,1.06,19.37,4.83,2.9725,0.13,1.12,3.76,6.67,3.75,0.61,0.5264,0.0271,0.46,NA,1.01,NA,8.253,1273,3.64,NA,NA,138,NA,0.07,181,185.195,5.22,126,0.62,8.5,5.98,3,4.77,790,26.6,7.56,1.78,11.6,0.000624,1.15,NA,0.04,NA,94.9,16.775,0.443,4.85,NA,99.7,68.5,3.1,NA,6.1,NA,19.6,NA,66.1,NA,NA,NA,159,0.4,6.53,NA,10.6,2.55,1087,6.85,1.05,NA,12.2,NA,0.445,3.25,26,2.66,29.4,2.96,86.4,544
