"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2T","LOI","NA","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Pt","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","E1","60.09","0.76","18.21","6.07",NA,"0.09","3.1","5.69","4.17","1.19","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","E2","60.77","0.856","17.38","6.206","3.79","0.094","3.186","5.984","4.248","1.252","0.17",NA,NA,"0.01",NA,NA,NA,NA,NA,"302",NA,NA,NA,NA,"25",NA,"20","44",NA,"45","2",NA,NA,NA,"20.7",NA,NA,NA,NA,NA,NA,"13","12",NA,NA,"7.4",NA,"40","14",NA,NA,NA,"16.5",NA,NA,"12",NA,NA,NA,"543",NA,NA,NA,NA,NA,NA,NA,"99",NA,"16.8",NA,"71","153"
"3","E3","60.7","0.844","17.731","6.14","3.65","0.095","3.173","6.061","4.284","1.217","0.17",NA,NA,"-0.05",NA,NA,NA,NA,NA,"327.8",NA,NA,NA,NA,"29.3",NA,NA,"42.4",NA,"31.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2",NA,"30","11",NA,NA,NA,"17.6",NA,NA,NA,NA,NA,NA,"554",NA,NA,NA,NA,NA,NA,NA,"103.7",NA,"16",NA,"62.7","155.5"
"4","E4","60.4","0.845","17.66","6.07",NA,"0.098","3.23","6.03","4.13","1.23","0.174",NA,NA,"-0.03",NA,NA,NA,NA,NA,"339.5",NA,NA,NA,NA,NA,NA,NA,"39.1",NA,"27.9",NA,NA,NA,NA,"20.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"29.3","9.7",NA,NA,NA,"18.5",NA,NA,NA,NA,NA,NA,"544.2",NA,NA,NA,"2.8",NA,NA,"1.8","99.2",NA,"16.4",NA,"61.1","147.6"
"5","E4.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","E5","60.26","0.9","17.48","6.17",NA,"0.1","3.19","6.24","4.11","1.28","0.18",NA,NA,"-0.04",NA,NA,NA,NA,NA,"329",NA,NA,NA,NA,NA,NA,NA,"41",NA,"37",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"35",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,"587",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"68","132"
"7","E6","60.56","0.879","17.41","6.21",NA,"0.088","3.44","6.04","4.16","1.23","0.18",NA,NA,"-0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3",NA,"33","12",NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,"586",NA,NA,NA,"6.9",NA,NA,NA,NA,NA,"18",NA,"68","158"
"8","E7","59.69","0.845","17.3","6.21",NA,"0.093","3.24","5.91","4.12","1.22","0.139",NA,NA,"-0.1",NA,NA,NA,NA,NA,"290",NA,NA,NA,"0.064",NA,NA,"18.84","46",NA,"27.49",NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,"33","8.49",NA,NA,NA,"16",NA,NA,"16",NA,NA,NA,"537",NA,NA,NA,NA,NA,NA,NA,"129",NA,"16",NA,"67","143"
"9","E8","60.6","0.83","17.67","5.9","4.03","0.1","3.17","5.96","4.26","1.24","0.17",NA,NA,"-0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","E8.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"533",NA,NA,NA,NA,NA,NA,NA,"106",NA,NA,NA,"36",NA
