"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1","I01","63.4","0.791","14.93","5.86",NA,"0.14","2.27","4.49","3.56","2.7","0.177",NA,NA,"1.62",NA,NA,NA,NA,"355",NA,"2.5","1.5","0.22","53","148","16","56",NA,"26",NA,NA,NA,"430","18",NA,"0.8","4.8",NA,NA,NA,"0.05",NA,"32",NA,NA,"2.2",NA,"11","27","25",NA,"18",NA,"9",NA,"102",NA,NA,NA,NA,"2.1",NA,NA,"4.2","2","106","1.7",NA,NA,"9","0.4",NA,"0.9","79","5.5","47",NA,"71","197"
"2","I02","65.8","0.82","15.1","6.17",NA,"0.14","2.25","4.62","3.48","2.75","0.13","0.14",NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","I03","63.216","0.77","14.778","5.798",NA,"0.14","2.28","4.547","3.654","2.706","0.175",NA,NA,"1.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6",NA,"21.9",NA,"11.3",NA,NA,NA,"100.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.7",NA,"66.4","196.3"
"4","I103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.9",NA,NA,"359.4",NA,NA,NA,NA,NA,NA,"14.3","54.9",NA,NA,NA,NA,NA,NA,"15.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",NA,"17.7",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,"1.3","84.8",NA,NA,NA,NA,NA
"5","I04","63.7","0.77","14.9","5.81",NA,"0.14","2.3","4.47","3.61","2.73","0.17",NA,NA,"1.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","I05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"357.3",NA,NA,NA,NA,"55.18",NA,NA,NA,"1.999",NA,"8.16","4.99","1.658",NA,NA,"7.46",NA,NA,NA,"1.649",NA,NA,NA,"24.63",NA,"0.694",NA,NA,NA,"28.23",NA,NA,"13.32",NA,"6.87",NA,"98.6",NA,NA,NA,NA,NA,NA,NA,"6.89",NA,"100.3",NA,"1.238",NA,"8.33",NA,"0.706","2.165",NA,NA,"45","4.752",NA,NA
"7","I105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.35",NA,NA,NA,"214"
"8","I06","61.8","0.78","15.5","6.2",NA,"0.141","2.47","4.8","3.63","2.7","0.18",NA,NA,"1.7",NA,NA,NA,NA,"380",NA,NA,NA,NA,"61",NA,"12.2","55","1.93","25","7.43","4.22","1.53",NA,NA,"6.36",NA,"4.89",NA,"1.61",NA,NA,NA,"22.9",NA,"0.68","1.15",NA,"10.8","26.4","20",NA,"12.8",NA,"6.4",NA,"94.6",NA,NA,NA,NA,"0.27","19.8",NA,"6.52","1.86","85","0.94","1.17",NA,"7.6",NA,"0.68","1.9","83","1.48","45","4.2","70","180"
"9","I17/I07","63.46","0.79","14.86","5.88","4.62","0.149","2.34","4.55","3.61","2.73","0.174","1.68","0.27","1.82",NA,NA,NA,NA,"345",NA,NA,NA,NA,"55.9",NA,"12","50",NA,"28","7.9","4.36","1.67",NA,"14","7.26",NA,NA,NA,"1.53",NA,NA,NA,"24.5",NA,"0.69",NA,NA,"14","26.2","24",NA,"14",NA,NA,NA,"94",NA,NA,NA,NA,NA,"18.4",NA,"7.36",NA,"111",NA,"1.3",NA,"9",NA,NA,NA,"81",NA,"47.3","4.44","60","189"
"10","I107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"318",NA,NA,NA,NA,NA,NA,NA,"694",NA,NA,NA,"5.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","I08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.75",NA,NA,NA,NA,NA,NA,NA,"1.68",NA,NA,NA,NA,NA,NA,"1.79",NA,NA,NA,"25.64",NA,"0.67",NA,NA,NA,"29.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.82",NA,NA,NA,"1.21",NA,NA,NA,NA,NA,NA,NA,NA,"4.61",NA,NA
"12","I108",NA,NA,NA,"5.53",NA,NA,NA,"4.52","1.946","2.41",NA,NA,NA,NA,NA,"1.25",NA,NA,"378",NA,NA,"1.79",NA,NA,NA,"13.5","56","2.13",NA,NA,NA,NA,NA,NA,NA,NA,"5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,"0.21","19.6",NA,NA,NA,NA,NA,NA,NA,"8.35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","I09","62.7","0.76","14.5","6.1",NA,"0.14","2.33","4.6","3.56","2.65","0.2",NA,NA,"1.75","0","19",NA,"33","343","1.5","53",NA,"5","60",NA,"22","60",NA,"34","1.29","5.57","1.96",NA,NA,"10.3","1",NA,NA,NA,NA,NA,NA,"26.7","35","0.43","21",NA,"23","25.3","26",NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"2","8.36","3","89.9","4.64",NA,NA,NA,NA,NA,NA,"128","1","42","0.04","76",NA
